GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1400000US36005000100,36005000100,Census Tract 1  Bronx County  New York,3327,490
1400000US36005000200,36005000200,Census Tract 2  Bronx County  New York,22971,3105
1400000US36005000400,36005000400,Census Tract 4  Bronx County  New York,29803,2627
1400000US36005001600,36005001600,Census Tract 16  Bronx County  New York,18544,3564
1400000US36005001900,36005001900,Census Tract 19  Bronx County  New York,16168,2683
1400000US36005002000,36005002000,Census Tract 20  Bronx County  New York,14052,2400
1400000US36005002300,36005002300,Census Tract 23  Bronx County  New York,9724,1299
1400000US36005002400,36005002400,Census Tract 24  Bronx County  New York,,
1400000US36005002500,36005002500,Census Tract 25  Bronx County  New York,10549,1606
1400000US36005002701,36005002701,Census Tract 27.01  Bronx County  New York,9575,1686
1400000US36005002702,36005002702,Census Tract 27.02  Bronx County  New York,8545,1386
1400000US36005002800,36005002800,Census Tract 28  Bronx County  New York,26234,2824
1400000US36005003100,36005003100,Census Tract 31  Bronx County  New York,18562,2992
1400000US36005003300,36005003300,Census Tract 33  Bronx County  New York,8682,1188
1400000US36005003500,36005003500,Census Tract 35  Bronx County  New York,11085,1473
1400000US36005003700,36005003700,Census Tract 37  Bronx County  New York,10142,4074
1400000US36005003800,36005003800,Census Tract 38  Bronx County  New York,21272,5492
1400000US36005003900,36005003900,Census Tract 39  Bronx County  New York,14767,2252
1400000US36005004001,36005004001,Census Tract 40.01  Bronx County  New York,23570,4486
1400000US36005004100,36005004100,Census Tract 41  Bronx County  New York,11837,4544
1400000US36005004200,36005004200,Census Tract 42  Bronx County  New York,12418,1875
1400000US36005004300,36005004300,Census Tract 43  Bronx County  New York,12133,1846
1400000US36005004400,36005004400,Census Tract 44  Bronx County  New York,13272,2380
1400000US36005004600,36005004600,Census Tract 46  Bronx County  New York,22433,5628
1400000US36005004800,36005004800,Census Tract 48  Bronx County  New York,12138,1832
1400000US36005005001,36005005001,Census Tract 50.01  Bronx County  New York,14314,2212
1400000US36005005002,36005005002,Census Tract 50.02  Bronx County  New York,13955,2289
1400000US36005005100,36005005100,Census Tract 51  Bronx County  New York,11227,1522
1400000US36005005200,36005005200,Census Tract 52  Bronx County  New York,16865,5077
1400000US36005005300,36005005300,Census Tract 53  Bronx County  New York,9762,1664
1400000US36005005400,36005005400,Census Tract 54  Bronx County  New York,15802,2241
1400000US36005005600,36005005600,Census Tract 56  Bronx County  New York,15638,3062
1400000US36005005902,36005005902,Census Tract 59.02  Bronx County  New York,19521,5035
1400000US36005006000,36005006000,Census Tract 60  Bronx County  New York,16133,2795
1400000US36005006100,36005006100,Census Tract 61  Bronx County  New York,30547,3728
1400000US36005006200,36005006200,Census Tract 62  Bronx County  New York,11609,1611
1400000US36005006300,36005006300,Census Tract 63  Bronx County  New York,18802,2506
1400000US36005006400,36005006400,Census Tract 64  Bronx County  New York,17330,4199
1400000US36005006500,36005006500,Census Tract 65  Bronx County  New York,10379,1274
1400000US36005006700,36005006700,Census Tract 67  Bronx County  New York,10380,1538
1400000US36005006800,36005006800,Census Tract 68  Bronx County  New York,15307,2524
1400000US36005006900,36005006900,Census Tract 69  Bronx County  New York,12454,2190
1400000US36005007000,36005007000,Census Tract 70  Bronx County  New York,13983,1913
1400000US36005007100,36005007100,Census Tract 71  Bronx County  New York,17464,2100
1400000US36005007200,36005007200,Census Tract 72  Bronx County  New York,17169,2244
1400000US36005007300,36005007300,Census Tract 73  Bronx County  New York,11644,2191
1400000US36005007400,36005007400,Census Tract 74  Bronx County  New York,21499,2983
1400000US36005007500,36005007500,Census Tract 75  Bronx County  New York,13286,1911
1400000US36005007600,36005007600,Census Tract 76  Bronx County  New York,17857,2377
1400000US36005007700,36005007700,Census Tract 77  Bronx County  New York,14122,2708
1400000US36005007800,36005007800,Census Tract 78  Bronx County  New York,14309,2266
1400000US36005007900,36005007900,Census Tract 79  Bronx County  New York,12931,2355
1400000US36005008300,36005008300,Census Tract 83  Bronx County  New York,11320,1656
1400000US36005008400,36005008400,Census Tract 84  Bronx County  New York,23131,4034
1400000US36005008500,36005008500,Census Tract 85  Bronx County  New York,12386,1622
1400000US36005008600,36005008600,Census Tract 86  Bronx County  New York,12430,1852
1400000US36005008700,36005008700,Census Tract 87  Bronx County  New York,13657,1644
1400000US36005008900,36005008900,Census Tract 89  Bronx County  New York,10388,1314
1400000US36005009000,36005009000,Census Tract 90  Bronx County  New York,18341,4938
1400000US36005009200,36005009200,Census Tract 92  Bronx County  New York,18648,2800
1400000US36005009300,36005009300,Census Tract 93  Bronx County  New York,11698,1669
1400000US36005009600,36005009600,Census Tract 96  Bronx County  New York,15302,2951
1400000US36005009800,36005009800,Census Tract 98  Bronx County  New York,23870,2600
1400000US36005011000,36005011000,Census Tract 110  Bronx County  New York,19153,8979
1400000US36005011502,36005011502,Census Tract 115.02  Bronx County  New York,9934,1422
1400000US36005011700,36005011700,Census Tract 117  Bronx County  New York,16164,2795
1400000US36005011800,36005011800,Census Tract 118  Bronx County  New York,29573,3394
1400000US36005011900,36005011900,Census Tract 119  Bronx County  New York,13949,4734
1400000US36005012101,36005012101,Census Tract 121.01  Bronx County  New York,11550,1352
1400000US36005012102,36005012102,Census Tract 121.02  Bronx County  New York,9206,2298
1400000US36005012300,36005012300,Census Tract 123  Bronx County  New York,10889,1827
1400000US36005012500,36005012500,Census Tract 125  Bronx County  New York,13947,2360
1400000US36005012701,36005012701,Census Tract 127.01  Bronx County  New York,11929,1851
1400000US36005012901,36005012901,Census Tract 129.01  Bronx County  New York,10095,1193
1400000US36005013000,36005013000,Census Tract 130  Bronx County  New York,34590,5789
1400000US36005013100,36005013100,Census Tract 131  Bronx County  New York,14571,1577
1400000US36005013200,36005013200,Census Tract 132  Bronx County  New York,36102,4439
1400000US36005013300,36005013300,Census Tract 133  Bronx County  New York,14034,2262
1400000US36005013500,36005013500,Census Tract 135  Bronx County  New York,12345,1832
1400000US36005013800,36005013800,Census Tract 138  Bronx County  New York,36098,5633
1400000US36005014100,36005014100,Census Tract 141  Bronx County  New York,21685,9726
1400000US36005014300,36005014300,Census Tract 143  Bronx County  New York,10627,3288
1400000US36005014400,36005014400,Census Tract 144  Bronx County  New York,14312,2961
1400000US36005014500,36005014500,Census Tract 145  Bronx County  New York,9178,1287
1400000US36005014701,36005014701,Census Tract 147.01  Bronx County  New York,8885,1776
1400000US36005014702,36005014702,Census Tract 147.02  Bronx County  New York,6816,928
1400000US36005014900,36005014900,Census Tract 149  Bronx County  New York,11460,1262
1400000US36005015100,36005015100,Census Tract 151  Bronx County  New York,14677,1844
1400000US36005015200,36005015200,Census Tract 152  Bronx County  New York,23486,3351
1400000US36005015300,36005015300,Census Tract 153  Bronx County  New York,12035,2129
1400000US36005015500,36005015500,Census Tract 155  Bronx County  New York,11933,1714
1400000US36005015700,36005015700,Census Tract 157  Bronx County  New York,14486,2600
1400000US36005015800,36005015800,Census Tract 158  Bronx County  New York,30651,6318
1400000US36005015900,36005015900,Census Tract 159  Bronx County  New York,12528,2614
1400000US36005016000,36005016000,Census Tract 160  Bronx County  New York,36695,4459
1400000US36005016100,36005016100,Census Tract 161  Bronx County  New York,11627,1864
1400000US36005016200,36005016200,Census Tract 162  Bronx County  New York,24165,3494
1400000US36005016300,36005016300,Census Tract 163  Bronx County  New York,7262,4160
1400000US36005016400,36005016400,Census Tract 164  Bronx County  New York,35904,5676
1400000US36005016500,36005016500,Census Tract 165  Bronx County  New York,12387,2964
1400000US36005016600,36005016600,Census Tract 166  Bronx County  New York,33440,8137
1400000US36005016700,36005016700,Census Tract 167  Bronx County  New York,11477,1464
1400000US36005016900,36005016900,Census Tract 169  Bronx County  New York,15751,2947
1400000US36005017300,36005017300,Census Tract 173  Bronx County  New York,11649,1713
1400000US36005017500,36005017500,Census Tract 175  Bronx County  New York,14152,4194
1400000US36005017701,36005017701,Census Tract 177.01  Bronx County  New York,11709,4718
1400000US36005017702,36005017702,Census Tract 177.02  Bronx County  New York,11364,2517
1400000US36005017901,36005017901,Census Tract 179.01  Bronx County  New York,12628,1790
1400000US36005017902,36005017902,Census Tract 179.02  Bronx County  New York,10431,2152
1400000US36005018101,36005018101,Census Tract 181.01  Bronx County  New York,14125,2524
1400000US36005018102,36005018102,Census Tract 181.02  Bronx County  New York,13371,2002
1400000US36005018301,36005018301,Census Tract 183.01  Bronx County  New York,21106,2590
1400000US36005018302,36005018302,Census Tract 183.02  Bronx County  New York,15947,2688
1400000US36005018400,36005018400,Census Tract 184  Bronx County  New York,33666,5292
1400000US36005018500,36005018500,Census Tract 185  Bronx County  New York,12293,1548
1400000US36005018900,36005018900,Census Tract 189  Bronx County  New York,11787,1855
1400000US36005019300,36005019300,Census Tract 193  Bronx County  New York,16586,8237
1400000US36005019400,36005019400,Census Tract 194  Bronx County  New York,24396,5326
1400000US36005019500,36005019500,Census Tract 195  Bronx County  New York,15076,1762
1400000US36005019700,36005019700,Census Tract 197  Bronx County  New York,9166,1484
1400000US36005019900,36005019900,Census Tract 199  Bronx County  New York,12303,1630
1400000US36005020000,36005020000,Census Tract 200  Bronx County  New York,18297,2355
1400000US36005020100,36005020100,Census Tract 201  Bronx County  New York,13795,2017
1400000US36005020200,36005020200,Census Tract 202  Bronx County  New York,21843,3210
1400000US36005020400,36005020400,Census Tract 204  Bronx County  New York,20342,2694
