GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1500000US360050001000,3.60E+11,Block Group 0  Census Tract 1  Bronx County  New York,,
1500000US360050001001,3.60E+11,Block Group 1  Census Tract 1  Bronx County  New York,3327,490
1500000US360050002000,3.60E+11,Block Group 0  Census Tract 2  Bronx County  New York,,
1500000US360050002001,3.60E+11,Block Group 1  Census Tract 2  Bronx County  New York,24500,5223
1500000US360050002002,3.60E+11,Block Group 2  Census Tract 2  Bronx County  New York,25199,5482
1500000US360050002003,3.60E+11,Block Group 3  Census Tract 2  Bronx County  New York,19103,4115
1500000US360050004000,3.60E+11,Block Group 0  Census Tract 4  Bronx County  New York,,
1500000US360050004001,3.60E+11,Block Group 1  Census Tract 4  Bronx County  New York,23105,12432
1500000US360050004002,3.60E+11,Block Group 2  Census Tract 4  Bronx County  New York,17729,4077
1500000US360050004003,3.60E+11,Block Group 3  Census Tract 4  Bronx County  New York,37621,3283
1500000US360050004004,3.60E+11,Block Group 4  Census Tract 4  Bronx County  New York,24121,9618
1500000US360050016001,3.60E+11,Block Group 1  Census Tract 16  Bronx County  New York,14743,2622
1500000US360050016002,3.60E+11,Block Group 2  Census Tract 16  Bronx County  New York,29901,19340
1500000US360050016003,3.60E+11,Block Group 3  Census Tract 16  Bronx County  New York,20688,8255
1500000US360050016004,3.60E+11,Block Group 4  Census Tract 16  Bronx County  New York,19300,4651
1500000US360050019000,3.60E+11,Block Group 0  Census Tract 19  Bronx County  New York,,
1500000US360050019001,3.60E+11,Block Group 1  Census Tract 19  Bronx County  New York,19735,4083
1500000US360050019002,3.60E+11,Block Group 2  Census Tract 19  Bronx County  New York,7809,11599
1500000US360050019003,3.60E+11,Block Group 3  Census Tract 19  Bronx County  New York,11617,3858
1500000US360050019004,3.60E+11,Block Group 4  Census Tract 19  Bronx County  New York,,
1500000US360050019005,3.60E+11,Block Group 5  Census Tract 19  Bronx County  New York,,
1500000US360050020001,3.60E+11,Block Group 1  Census Tract 20  Bronx County  New York,18424,4376
1500000US360050020002,3.60E+11,Block Group 2  Census Tract 20  Bronx County  New York,19635,6978
