"","DBN","SCH_NAME","Cohort.Year","Cohort.Category","Total_Cohort_Num","Total_Grads_Num","Total_Grads_Pct","Total_Regents_Num","TR_Pct_of_Cohort","TR_Pct_of_Grads","Advanced_Regents_Num","AR_Pct_of_Cohort","AR_Pct_of_Grads","Regents_wo_Advanced_Num","RwA_Pct_of_Cohort","RwA_Pct_of_Grads","Local_Num","Local_Pct_of_Cohort","Local_Pct_of_Grads","Still_Enrolled_Num","Still_Enrolled_Pct","Dropped_Out_Num","Dropped_Out_Pct"
"1","01M056","CORLEARS SCHOOL",2001,"4 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"2","01M056","CORLEARS SCHOOL",2001,"5 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"3","01M056","CORLEARS SCHOOL",2001,"6 Year",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"4","01M056","CORLEARS SCHOOL",2003,"4 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"5","01M056","CORLEARS SCHOOL",2003,"5 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"6","01M056","CORLEARS SCHOOL",2003,"6 Year",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"7","01M056","CORLEARS SCHOOL",2008,"4 Year  June",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"8","01M056","CORLEARS SCHOOL",2008,"4 Year August",1,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"9","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2003,"4 Year  June",5,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
"10","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",2003,"5 Year  June",5,NA,"s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s","s",NA,"s",NA,"s"
