DBN,School Name,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
01M015,P.S. 015 Roberto Clemente,2011-12,189,13,31,35,28,25,28,29,0,0,0,0,0,0,0,92,48.70%,97,51.30%,12,6.30%,63,33.30%,109,57.70%,1,0.50%,4,2.10%,52,27.50%,22,11.60%,189,100.00%
01M015,P.S. 015 Roberto Clemente,2012-13,177,18,38,26,22,26,23,24,0,0,0,0,0,0,0,91,51.40%,86,48.60%,15,8.50%,63,35.60%,93,52.50%,3,1.70%,3,1.70%,55,31.10%,21,11.90%,177,100.00%
01M015,P.S. 015 Roberto Clemente,2013-14,190,26,39,39,21,16,26,23,0,0,0,0,0,0,0,93,48.90%,97,51.10%,9,4.70%,72,37.90%,104,54.70%,2,1.10%,3,1.60%,65,34.20%,19,10.00%,190,100.00%
01M015,P.S. 015 Roberto Clemente,2014-15,183,18,27,47,31,19,17,24,0,0,0,0,0,0,0,84,45.90%,99,54.10%,8,4.40%,65,35.50%,107,58.50%,1,0.50%,2,1.10%,64,35.00%,17,9.30%,183,100.00%
01M015,P.S. 015 Roberto Clemente,2015-16,176,14,32,33,39,23,17,18,0,0,0,0,0,0,0,83,47.20%,93,52.80%,9,5.10%,57,32.40%,105,59.70%,3,1.70%,2,1.10%,57,32.40%,16,9.10%,176,100.00%
01M019,P.S. 019 Asher Levy,2011-12,328,32,46,52,54,52,46,46,0,0,0,0,0,0,0,181,55.20%,147,44.80%,51,15.50%,81,24.70%,158,48.20%,10,3.00%,28,8.50%,66,20.10%,33,10.10%,328,100.00%
01M019,P.S. 019 Asher Levy,2012-13,302,31,39,46,46,48,50,42,0,0,0,0,0,0,0,154,51.00%,148,49.00%,44,14.60%,69,22.80%,150,49.70%,6,2.00%,33,10.90%,79,26.20%,26,8.60%,228,75.50%
01M019,P.S. 019 Asher Levy,2013-14,285,36,39,38,36,45,47,44,0,0,0,0,0,0,0,141,49.50%,144,50.50%,41,14.40%,56,19.60%,148,51.90%,10,3.50%,30,10.50%,89,31.20%,25,8.80%,213,74.70%
01M019,P.S. 019 Asher Levy,2014-15,270,30,44,40,39,35,40,42,0,0,0,0,0,0,0,132,48.90%,138,51.10%,30,11.10%,47,17.40%,158,58.50%,8,3.00%,27,10.00%,82,30.40%,18,6.70%,200,74.10%
01M019,P.S. 019 Asher Levy,2015-16,270,21,47,43,41,43,35,40,0,0,0,0,0,0,0,125,46.30%,145,53.70%,27,10.00%,55,20.40%,169,62.60%,3,1.10%,16,5.90%,80,29.60%,13,4.80%,217,80.40%
01M020,P.S. 020 Anna Silver,2011-12,626,52,102,121,87,88,85,91,0,0,0,0,0,0,0,296,47.30%,330,52.70%,190,30.40%,55,8.80%,357,57.00%,8,1.30%,16,2.60%,106,16.90%,128,20.40%,626,100.00%
01M020,P.S. 020 Anna Silver,2012-13,620,54,115,107,106,86,77,75,0,0,0,0,0,0,0,282,45.50%,338,54.50%,201,32.40%,51,8.20%,330,53.20%,13,2.10%,25,4.00%,122,19.70%,107,17.30%,620,100.00%
01M020,P.S. 020 Anna Silver,2013-14,631,54,114,111,98,109,71,74,0,0,0,0,0,0,0,305,48.30%,326,51.70%,223,35.30%,54,8.60%,314,49.80%,16,2.50%,24,3.80%,144,22.80%,104,16.50%,631,100.00%
01M020,P.S. 020 Anna Silver,2014-15,633,51,102,108,100,98,104,70,0,0,0,0,0,0,0,301,47.60%,332,52.40%,231,36.50%,53,8.40%,309,48.80%,15,2.40%,25,3.90%,144,22.70%,120,19.00%,633,100.00%
01M020,P.S. 020 Anna Silver,2015-16,581,46,82,90,98,92,81,92,0,0,0,0,0,0,0,277,47.70%,304,52.30%,204,35.10%,46,7.90%,286,49.20%,21,3.60%,24,4.10%,122,21.00%,88,15.10%,581,100.00%
01M034,P.S. 034 Franklin D. Roosevelt,2011-12,401,14,34,38,36,45,28,40,55,55,56,0,0,0,0,197,49.10%,204,50.90%,22,5.50%,90,22.40%,275,68.60%,6,1.50%,8,2.00%,124,30.90%,34,8.50%,400,99.80%
01M034,P.S. 034 Franklin D. Roosevelt,2012-13,413,18,36,34,37,44,50,32,60,48,54,0,0,0,0,202,48.90%,211,51.10%,28,6.80%,102,24.70%,265,64.20%,5,1.20%,13,3.10%,133,32.20%,34,8.20%,394,95.40%
01M034,P.S. 034 Franklin D. Roosevelt,2013-14,393,18,33,32,35,34,45,43,43,57,53,0,0,0,0,196,49.90%,197,50.10%,26,6.60%,108,27.50%,246,62.60%,1,0.30%,12,3.10%,129,32.80%,25,6.40%,373,94.90%
01M034,P.S. 034 Franklin D. Roosevelt,2014-15,395,18,40,32,29,35,32,44,63,43,59,0,0,0,0,199,50.40%,196,49.60%,25,6.30%,110,27.80%,245,62.00%,1,0.30%,14,3.50%,119,30.10%,26,6.60%,381,96.50%
01M034,P.S. 034 Franklin D. Roosevelt,2015-16,394,18,33,41,30,27,36,33,64,62,50,0,0,0,0,200,50.80%,194,49.20%,18,4.60%,113,28.70%,249,63.20%,0,0.00%,14,3.60%,114,28.90%,29,7.40%,383,97.20%
01M063,The STAR Academy - P.S.63,2011-12,176,18,20,30,21,31,26,30,0,0,0,0,0,0,0,79,44.90%,97,55.10%,9,5.10%,41,23.30%,110,62.50%,1,0.60%,15,8.50%,50,28.40%,6,3.40%,155,88.10%
01M063,The STAR Academy - P.S.63,2012-13,174,18,37,18,28,21,27,25,0,0,0,0,0,0,0,83,47.70%,91,52.30%,12,6.90%,42,24.10%,102,58.60%,1,0.60%,17,9.80%,49,28.20%,7,4.00%,145,83.30%
01M063,The STAR Academy - P.S.63,2013-14,179,18,40,33,26,23,20,19,0,0,0,0,0,0,0,93,52.00%,86,48.00%,13,7.30%,45,25.10%,101,56.40%,3,1.70%,17,9.50%,59,33.00%,8,4.50%,145,81.00%
01M063,The STAR Academy - P.S.63,2014-15,199,25,35,34,38,25,21,21,0,0,0,0,0,0,0,98,49.20%,101,50.80%,14,7.00%,41,20.60%,124,62.30%,0,0.00%,20,10.10%,68,34.20%,7,3.50%,166,83.40%
01M063,The STAR Academy - P.S.63,2015-16,203,15,47,42,35,28,19,17,0,0,0,0,0,0,0,100,49.30%,103,50.70%,9,4.40%,40,19.70%,131,64.50%,2,1.00%,21,10.30%,64,31.50%,6,3.00%,171,84.20%
01M064,P.S. 064 Robert Simon,2011-12,324,27,54,50,42,49,48,54,0,0,0,0,0,0,0,140,43.20%,184,56.80%,26,8.00%,76,23.50%,193,59.60%,5,1.50%,24,7.40%,110,34.00%,29,9.00%,282,87.00%
01M064,P.S. 064 Robert Simon,2012-13,314,34,34,55,55,39,50,47,0,0,0,0,0,0,0,134,42.70%,180,57.30%,22,7.00%,70,22.30%,195,62.10%,4,1.30%,23,7.30%,124,39.50%,27,8.60%,267,85.00%
01M064,P.S. 064 Robert Simon,2013-14,287,33,39,40,46,48,38,43,0,0,0,0,0,0,0,124,43.20%,163,56.80%,17,5.90%,65,22.60%,173,60.30%,5,1.70%,27,9.40%,99,34.50%,19,6.60%,259,90.20%
01M064,P.S. 064 Robert Simon,2014-15,282,33,35,39,44,43,46,42,0,0,0,0,0,0,0,120,42.60%,162,57.40%,20,7.10%,51,18.10%,185,65.60%,5,1.80%,21,7.40%,93,33.00%,18,6.40%,266,94.30%
01M064,P.S. 064 Robert Simon,2015-16,258,20,36,39,37,35,43,48,0,0,0,0,0,0,0,105,40.70%,153,59.30%,19,7.40%,49,19.00%,169,65.50%,2,0.80%,19,7.40%,81,31.40%,15,5.80%,239,92.60%
01M110,P.S. 110 Florence Nightingale,2011-12,440,34,67,75,65,53,71,75,0,0,0,0,0,0,0,221,50.20%,219,49.80%,55,12.50%,58,13.20%,194,44.10%,9,2.00%,124,28.20%,71,16.10%,31,7.00%,242,55.00%
01M110,P.S. 110 Florence Nightingale,2012-13,412,36,74,61,71,56,48,66,0,0,0,0,0,0,0,219,53.20%,193,46.80%,48,11.70%,46,11.20%,182,44.20%,17,4.10%,119,28.90%,61,14.80%,22,5.30%,221,53.60%
01M110,P.S. 110 Florence Nightingale,2013-14,416,36,63,85,56,74,56,46,0,0,0,0,0,0,0,201,48.30%,215,51.70%,57,13.70%,40,9.60%,183,44.00%,20,4.80%,116,27.90%,70,16.80%,20,4.80%,221,53.10%
01M110,P.S. 110 Florence Nightingale,2014-15,419,35,54,68,80,54,72,56,0,0,0,0,0,0,0,203,48.40%,216,51.60%,54,12.90%,41,9.80%,186,44.40%,16,3.80%,122,29.10%,68,16.20%,9,2.10%,217,51.80%
01M110,P.S. 110 Florence Nightingale,2015-16,394,29,47,50,60,88,54,66,0,0,0,0,0,0,0,188,47.70%,206,52.30%,63,16.00%,39,9.90%,170,43.10%,16,4.10%,106,26.90%,63,16.00%,5,1.30%,206,52.30%
01M134,P.S. 134 Henrietta Szold,2011-12,369,36,67,57,55,60,51,43,0,0,0,0,0,0,0,192,52.00%,177,48.00%,104,28.20%,74,20.10%,181,49.10%,2,0.50%,8,2.20%,72,19.50%,61,16.50%,319,86.40%
