,year,pct,arstmade,arstoffn,offense,age,sex,race,frisked,searched,datestop,timestop,Arrest,Frisk,Search,Male,Female,Asian,Black,Native,Hispanic,White,OthrRace
2880,2015,76,Y,26.03,other,17,M,Q,Y,N,5312015,350,1,1,0,1,0,0,0,0,1,0,0
988,2015,40,Y,104.1,other,33,F,B,N,Y,3222015,210,1,0,1,0,1,0,1,0,0,0,0
185,2015,13,Y,120,assault,61,M,B,Y,Y,2122015,1700,1,1,1,1,0,0,1,0,0,0,0
199,2015,13,Y,120,assault,22,M,B,Y,N,4172015,510,1,1,0,1,0,0,1,0,0,0,0
3241,2015,102,Y,120,assault,38,M,Q,Y,N,5092015,20,1,1,0,1,0,0,0,0,1,0,0
3775,2015,114,Y,120.01,assault,65,M,W,Y,N,7272015,1320,1,1,0,1,0,0,0,0,0,1,0
621,2015,25,Y,120.05,assault,37,M,B,N,N,2072015,1620,1,0,0,1,0,0,1,0,0,0,0
622,2015,25,Y,120.05,assault,27,M,U,N,N,2072015,1620,1,0,0,1,0,0,0,0,0,0,0
1900,2015,44,Y,120.05,assault,35,M,B,Y,N,12012015,2111,1,1,0,1,0,0,1,0,0,0,0
3647,2015,110,Y,120.05,assault,21,M,Q,Y,Y,5232015,1030,1,1,1,1,0,0,0,0,1,0,0
526,2015,23,Y,120.1,assault,24,M,B,Y,Y,3052015,1855,1,1,1,1,0,0,1,0,0,0,0
214,2015,13,Y,120.14,assault,70,M,B,Y,Y,5222015,2355,1,1,1,1,0,0,1,0,0,0,0
2707,2015,71,Y,120.15,assault,36,M,B,Y,Y,6212015,930,1,1,1,1,0,0,1,0,0,0,0
1502,2015,41,Y,120.18,assault,49,M,B,Y,Y,12112015,2248,1,1,1,1,0,0,1,0,0,0,0
2539,2015,66,Y,120.18,assault,40,M,Q,Y,Y,6202015,1,1,1,1,1,0,0,0,0,1,0,0
36,2015,7,Y,120.2,assault,19,M,B,Y,Y,1192015,1159,1,1,1,1,0,0,1,0,0,0,0
37,2015,7,Y,120.2,assault,19,M,B,Y,Y,1192015,1159,1,1,1,1,0,0,1,0,0,0,0
881,2015,34,Y,120.2,assault,27,M,P,Y,Y,5232015,2146,1,1,1,1,0,0,0,0,1,0,0
3316,2015,105,Y,120.25,assault,37,M,B,Y,N,2082015,500,1,1,0,1,0,0,1,0,0,0,0
3394,2015,105,Y,120.25,assault,24,M,B,Y,Y,10152015,1950,1,1,1,1,0,0,1,0,0,0,0
3666,2015,110,Y,120.45,assault,48,M,Q,N,N,10062015,1825,1,0,0,1,0,0,0,0,1,0,0
760,2015,28,Y,121.11,assault,32,M,Q,Y,Y,9162015,1908,1,1,1,1,0,0,0,0,1,0,0
2802,2015,75,Y,121.11,assault,16,M,B,Y,N,1172015,1610,1,1,0,1,0,0,1,0,0,0,0
3242,2015,102,Y,125.25,homicide,45,F,W,Y,Y,5132015,1315,1,1,1,0,1,0,0,0,0,1,0
2,2015,1,Y,130.52,sexoffense,53,M,B,Y,Y,5192015,1025,1,1,1,1,0,0,1,0,0,0,0
181,2015,13,Y,130.52,sexoffense,26,M,B,N,N,1232015,950,1,0,0,1,0,0,1,0,0,0,0
193,2015,13,Y,130.52,sexoffense,47,M,P,N,N,3312015,1830,1,0,0,1,0,0,0,0,1,0,0
231,2015,13,Y,130.52,sexoffense,25,M,B,Y,Y,6302015,1813,1,1,1,1,0,0,1,0,0,0,0
252,2015,13,Y,130.52,sexoffense,31,M,A,N,N,8262015,1830,1,0,0,1,0,1,0,0,0,0,0
299,2015,14,Y,130.52,sexoffense,29,M,P,Y,N,2122015,905,1,1,0,1,0,0,0,0,1,0,0
307,2015,14,Y,130.52,sexoffense,22,M,Q,Y,Y,4082015,852,1,1,1,1,0,0,0,0,1,0,0
320,2015,14,Y,130.52,sexoffense,37,M,Q,N,N,6112015,930,1,0,0,1,0,0,0,0,1,0,0
322,2015,14,Y,130.52,sexoffense,25,M,B,Y,Y,6302015,1757,1,1,1,1,0,0,1,0,0,0,0
341,2015,17,Y,130.52,sexoffense,34,F,Q,N,N,1222015,735,1,0,0,0,1,0,0,0,1,0,0
348,2015,17,Y,130.52,sexoffense,37,F,Q,Y,Y,4302015,1710,1,1,1,0,1,0,0,0,1,0,0
349,2015,17,Y,130.52,sexoffense,27,M,B,Y,N,5052015,846,1,1,0,1,0,0,1,0,0,0,0
414,2015,19,Y,130.52,sexoffense,32,M,B,Y,Y,4172015,848,1,1,1,1,0,0,1,0,0,0,0
646,2015,25,Y,130.52,sexoffense,33,M,Q,N,N,4022015,1536,1,0,0,1,0,0,0,0,1,0,0
2075,2015,47,Y,130.52,sexoffense,52,M,I,Y,Y,6092015,1215,1,1,1,1,0,0,0,1,0,0,0
467,2015,19,Y,140.05,other,19,F,W,Y,N,11022015,2305,1,1,0,0,1,0,0,0,0,1,0
468,2015,19,Y,140.05,other,20,M,I,Y,N,11022015,2305,1,1,0,1,0,0,0,1,0,0,0
469,2015,19,Y,140.05,other,19,M,W,Y,N,11022015,2305,1,1,0,1,0,0,0,0,0,1,0
10,2015,5,Y,140.1,other,24,F,Q,Y,Y,3142015,40,1,1,1,0,1,0,0,0,1,0,0
11,2015,5,Y,140.1,other,26,M,B,Y,Y,3142015,40,1,1,1,1,0,0,1,0,0,0,0
273,2015,13,Y,140.1,other,25,M,B,Y,Y,11212015,35,1,1,1,1,0,0,1,0,0,0,0
276,2015,13,Y,140.1,other,35,M,B,Y,Y,11272015,2215,1,1,1,1,0,0,1,0,0,0,0
279,2015,13,Y,140.1,other,50,M,B,Y,Y,12032015,2150,1,1,1,1,0,0,1,0,0,0,0
280,2015,13,Y,140.1,other,38,M,B,Y,Y,12032015,2150,1,1,1,1,0,0,1,0,0,0,0
281,2015,13,Y,140.1,other,55,M,B,Y,Y,12052015,15,1,1,1,1,0,0,1,0,0,0,0
501,2015,20,Y,140.1,other,33,M,B,N,N,6102015,1245,1,0,0,1,0,0,1,0,0,0,0
619,2015,25,Y,140.1,other,26,M,B,Y,N,2042015,47,1,1,0,1,0,0,1,0,0,0,0
642,2015,25,Y,140.1,other,51,F,B,Y,N,3272015,1857,1,1,0,0,1,0,1,0,0,0,0
787,2015,32,Y,140.1,other,40,M,B,Y,Y,1132015,2120,1,1,1,1,0,0,1,0,0,0,0
957,2015,40,Y,140.1,other,17,F,P,Y,Y,3062015,1935,1,1,1,0,1,0,0,0,1,0,0
958,2015,40,Y,140.1,other,16,M,Q,Y,Y,3062015,1935,1,1,1,1,0,0,0,0,1,0,0
963,2015,40,Y,140.1,other,24,M,B,N,N,3082015,2050,1,0,0,1,0,0,1,0,0,0,0
964,2015,40,Y,140.1,other,63,M,B,Y,Y,3092015,15,1,1,1,1,0,0,1,0,0,0,0
991,2015,40,Y,140.1,other,17,M,B,Y,N,3222015,2135,1,1,0,1,0,0,1,0,0,0,0
992,2015,40,Y,140.1,other,17,M,B,N,Y,3222015,2230,1,0,1,1,0,0,1,0,0,0,0
1115,2015,40,Y,140.1,other,17,M,B,Y,N,6302015,2310,1,1,0,1,0,0,1,0,0,0,0
1145,2015,40,Y,140.1,other,40,M,P,Y,N,7142015,1753,1,1,0,1,0,0,0,0,1,0,0
1318,2015,40,Y,140.1,other,49,M,P,Y,Y,10102015,2010,1,1,1,1,0,0,0,0,1,0,0
1397,2015,40,Y,140.1,other,52,M,B,Y,Y,12052015,1915,1,1,1,1,0,0,1,0,0,0,0
1520,2015,42,Y,140.1,other,19,M,B,N,N,3282015,2245,1,0,0,1,0,0,1,0,0,0,0
1521,2015,42,Y,140.1,other,19,M,B,N,N,3282015,2245,1,0,0,1,0,0,1,0,0,0,0
1735,2015,43,Y,140.1,other,21,M,Q,Y,Y,3072015,2140,1,1,1,1,0,0,0,0,1,0,0
1866,2015,44,Y,140.1,other,23,F,B,Y,N,2182015,1730,1,1,0,0,1,0,1,0,0,0,0
1870,2015,44,Y,140.1,other,32,M,Q,Y,Y,2242015,930,1,1,1,1,0,0,0,0,1,0,0
1871,2015,44,Y,140.1,other,24,M,B,Y,Y,2242015,935,1,1,1,1,0,0,1,0,0,0,0
2022,2015,47,Y,140.1,other,19,F,W,N,N,4222015,2110,1,0,0,0,1,0,0,0,0,1,0
2023,2015,47,Y,140.1,other,24,M,P,N,Y,4222015,2110,1,0,1,1,0,0,0,0,1,0,0
2065,2015,47,Y,140.1,other,27,M,B,N,Y,5232015,1332,1,0,1,1,0,0,1,0,0,0,0
2090,2015,47,Y,140.1,other,28,Z,B,Y,Y,6242015,845,1,1,1,0,0,0,1,0,0,0,0
2273,2015,49,Y,140.1,other,17,M,A,Y,Y,11202015,1740,1,1,1,1,0,1,0,0,0,0,0
2274,2015,49,Y,140.1,other,16,M,B,Y,Y,11202015,1740,1,1,1,1,0,0,1,0,0,0,0
2275,2015,49,Y,140.1,other,20,M,B,Y,Y,11202015,1740,1,1,1,1,0,0,1,0,0,0,0
2276,2015,49,Y,140.1,other,16,M,B,Y,Y,11202015,1740,1,1,1,1,0,0,1,0,0,0,0
2277,2015,49,Y,140.1,other,16,M,P,Y,Y,11202015,1740,1,1,1,1,0,0,0,0,1,0,0
2278,2015,49,Y,140.1,other,17,M,P,Y,Y,11202015,1740,1,1,1,1,0,0,0,0,1,0,0
2642,2015,68,Y,140.1,other,35,M,Q,Y,N,11222015,1918,1,1,0,1,0,0,0,0,1,0,0
2643,2015,68,Y,140.1,other,45,M,Q,Y,Y,11222015,1918,1,1,1,1,0,0,0,0,1,0,0
2757,2015,73,Y,140.1,other,33,M,Q,Y,N,2262015,1415,1,1,0,1,0,0,0,0,1,0,0
2803,2015,75,Y,140.1,other,40,M,B,N,N,1232015,1942,1,0,0,1,0,0,1,0,0,0,0
2809,2015,75,Y,140.1,other,28,F,B,N,N,2172015,1950,1,0,0,0,1,0,1,0,0,0,0
2873,2015,76,Y,140.1,other,18,M,B,N,Y,1212015,2045,1,0,1,1,0,0,1,0,0,0,0
2989,2015,81,Y,140.1,other,24,F,W,Y,Y,8272015,2130,1,1,1,0,1,0,0,0,0,1,0
2990,2015,81,Y,140.1,other,27,M,B,Y,Y,8272015,2130,1,1,1,1,0,0,1,0,0,0,0
3016,2015,83,Y,140.1,other,45,M,Q,Y,Y,2102015,1816,1,1,1,1,0,0,0,0,1,0,0
3019,2015,83,Y,140.1,other,18,F,Q,Y,Y,2112015,2350,1,1,1,0,1,0,0,0,1,0,0
3034,2015,83,Y,140.1,other,21,M,Q,Y,Y,4162015,1128,1,1,1,1,0,0,0,0,1,0,0
3222,2015,102,Y,140.1,other,17,M,B,Y,Y,2112015,1147,1,1,1,1,0,0,1,0,0,0,0
3223,2015,102,Y,140.1,other,14,M,B,Y,Y,2112015,1147,1,1,1,1,0,0,1,0,0,0,0
3671,2015,110,Y,140.1,other,18,M,B,N,Y,10302015,40,1,0,1,1,0,0,1,0,0,0,0
3672,2015,110,Y,140.1,other,24,M,Q,N,Y,10302015,40,1,0,1,1,0,0,0,0,1,0,0
3673,2015,110,Y,140.1,other,18,M,W,N,Y,10302015,40,1,0,1,1,0,0,0,0,0,1,0
3793,2015,114,Y,140.1,other,18,M,Q,Y,Y,10012015,2145,1,1,1,1,0,0,0,0,1,0,0
65,2015,9,Y,140.15,other,45,F,Q,Y,Y,1162015,40,1,1,1,0,1,0,0,0,1,0,0
72,2015,9,Y,140.15,other,53,M,Q,Y,Y,1212015,2155,1,1,1,1,0,0,0,0,1,0,0
73,2015,9,Y,140.15,other,30,M,P,N,N,1212015,2305,1,0,0,1,0,0,0,0,1,0,0
76,2015,9,Y,140.15,other,38,F,B,Y,Y,1222015,2010,1,1,1,0,1,0,1,0,0,0,0
95,2015,9,Y,140.15,other,33,M,B,Y,Y,2252015,15,1,1,1,1,0,0,1,0,0,0,0
106,2015,9,Y,140.15,other,27,M,B,Y,Y,3142015,2005,1,1,1,1,0,0,1,0,0,0,0
115,2015,9,Y,140.15,other,37,M,B,Y,Y,3292015,1830,1,1,1,1,0,0,1,0,0,0,0
251,2015,13,Y,140.15,other,28,M,Q,Y,Y,8242015,910,1,1,1,1,0,0,0,0,1,0,0
532,2015,23,Y,140.15,other,21,M,B,Y,Y,5062015,2245,1,1,1,1,0,0,1,0,0,0,0
539,2015,23,Y,140.15,other,35,M,Q,Y,Y,6192015,2010,1,1,1,1,0,0,0,0,1,0,0
550,2015,23,Y,140.15,other,31,M,B,Y,Y,7312015,2015,1,1,1,1,0,0,1,0,0,0,0
553,2015,23,Y,140.15,other,27,M,B,Y,Y,12012015,1930,1,1,1,1,0,0,1,0,0,0,0
559,2015,24,Y,140.15,other,56,M,Q,Y,Y,1252015,2053,1,1,1,1,0,0,0,0,1,0,0
623,2015,25,Y,140.15,other,24,M,Q,Y,Y,2082015,1915,1,1,1,1,0,0,0,0,1,0,0
2529,2015,66,Y,140.15,other,18,M,Q,Y,Y,5282015,1200,1,1,1,1,0,0,0,0,1,0,0
2530,2015,66,Y,140.15,other,23,M,Q,Y,Y,5282015,1200,1,1,1,1,0,0,0,0,1,0,0
2531,2015,66,Y,140.15,other,17,M,Q,Y,Y,5282015,1200,1,1,1,1,0,0,0,0,1,0,0
2532,2015,66,Y,140.15,other,19,M,Q,Y,Y,5282015,1200,1,1,1,1,0,0,0,0,1,0,0
2608,2015,67,Y,140.15,other,16,F,B,Y,Y,5022015,2130,1,1,1,0,1,0,1,0,0,0,0
2609,2015,67,Y,140.15,other,18,M,B,Y,Y,5022015,2130,1,1,1,1,0,0,1,0,0,0,0
2610,2015,67,Y,140.15,other,18,M,B,Y,Y,5022015,2130,1,1,1,1,0,0,1,0,0,0,0
2611,2015,67,Y,140.15,other,16,M,B,Y,Y,5022015,2130,1,1,1,1,0,0,1,0,0,0,0
2612,2015,67,Y,140.15,other,17,M,B,Y,Y,5022015,2130,1,1,1,1,0,0,1,0,0,0,0
2613,2015,67,Y,140.15,other,18,M,B,Y,Y,5022015,2130,1,1,1,1,0,0,1,0,0,0,0
2698,2015,71,Y,140.15,other,21,M,B,Y,Y,2162015,1107,1,1,1,1,0,0,1,0,0,0,0
2747,2015,73,Y,140.15,other,19,M,B,Y,Y,1142015,1805,1,1,1,1,0,0,1,0,0,0,0
2810,2015,75,Y,140.15,other,21,M,Q,Y,Y,2212015,1620,1,1,1,1,0,0,0,0,1,0,0
2900,2015,77,Y,140.15,other,24,M,B,Y,Y,3092015,1640,1,1,1,1,0,0,1,0,0,0,0
2901,2015,77,Y,140.15,other,25,M,B,Y,Y,3092015,1640,1,1,1,1,0,0,1,0,0,0,0
183,2015,13,Y,140.2,larceny,67,M,W,Y,Y,2032015,1530,1,1,1,1,0,0,0,0,0,1,0
203,2015,13,Y,140.2,larceny,55,M,B,Y,Y,4222015,1540,1,1,1,1,0,0,1,0,0,0,0
2558,2015,66,Y,140.2,larceny,17,M,P,Y,Y,8182015,1810,1,1,1,1,0,0,0,0,1,0,0
2562,2015,66,Y,140.2,larceny,42,M,Z,Y,Y,8262015,1505,1,1,1,1,0,0,0,0,0,0,1
3532,2015,106,Y,140.2,larceny,25,M,A,Y,Y,12162015,1215,1,1,1,1,0,1,0,0,0,0,0
3533,2015,106,Y,140.2,larceny,21,M,I,Y,Y,12162015,1215,1,1,1,1,0,0,0,1,0,0,0
277,2015,13,Y,140.25,larceny,54,M,W,Y,Y,12022015,1530,1,1,1,1,0,0,0,0,0,1,0
2524,2015,66,Y,140.25,larceny,27,M,W,Y,Y,5012015,1623,1,1,1,1,0,0,0,0,0,1,0
3810,2015,114,Y,140.25,larceny,22,M,W,Y,Y,12062015,531,1,1,1,1,0,0,0,0,0,1,0
120,2015,9,Y,140.35,contraband,18,M,Q,Y,Y,4072015,1700,1,1,1,1,0,0,0,0,1,0,0
173,2015,13,Y,140.35,contraband,39,M,Q,Y,Y,1132015,1420,1,1,1,1,0,0,0,0,1,0,0
174,2015,13,Y,140.35,contraband,23,M,W,Y,Y,1132015,1420,1,1,1,1,0,0,0,0,0,1,0
192,2015,13,Y,140.35,contraband,56,M,B,Y,Y,3312015,1315,1,1,1,1,0,0,1,0,0,0,0
225,2015,13,Y,140.35,contraband,22,M,B,Y,N,6162015,2205,1,1,0,1,0,0,1,0,0,0,0
267,2015,13,Y,140.35,contraband,48,M,P,Y,Y,11042015,1346,1,1,1,1,0,0,0,0,1,0,0
274,2015,13,Y,140.35,contraband,20,M,Q,Y,Y,11252015,1240,1,1,1,1,0,0,0,0,1,0,0
284,2015,13,Y,140.35,contraband,31,M,W,Y,Y,12122015,1453,1,1,1,1,0,0,0,0,0,1,0
1934,2015,46,Y,140.35,contraband,50,M,P,Y,N,4022015,1720,1,1,0,1,0,0,0,0,1,0,0
1939,2015,46,Y,140.35,contraband,29,M,Q,Y,Y,7072015,2210,1,1,1,1,0,0,0,0,1,0,0
2528,2015,66,Y,140.35,contraband,22,M,Q,Y,Y,5272015,255,1,1,1,1,0,0,0,0,1,0,0
2563,2015,66,Y,140.35,contraband,25,M,W,Y,Y,8272015,15,1,1,1,1,0,0,0,0,0,1,0
3041,2015,83,Y,140.35,contraband,41,M,Q,Y,N,7062015,950,1,1,0,1,0,0,0,0,1,0,0
3218,2015,102,Y,140.35,contraband,48,M,Q,Y,Y,1302015,1245,1,1,1,1,0,0,0,0,1,0,0
113,2015,9,Y,140.6,other,18,F,A,N,Y,3282015,15,1,0,1,0,1,1,0,0,0,0,0
3137,2015,90,Y,145,other,16,F,B,N,N,12202015,1720,1,0,0,0,1,0,1,0,0,0,0
2495,2015,62,Y,145.02,other,26,F,W,N,N,11252015,1310,1,0,0,0,1,0,0,0,0,1,0
196,2015,13,Y,145.05,other,14,M,Q,Y,Y,4062015,2135,1,1,1,1,0,0,0,0,1,0,0
2481,2015,62,Y,145.05,other,19,M,P,Y,Y,8152015,2317,1,1,1,1,0,0,0,0,1,0,0
2920,2015,78,Y,145.05,other,37,M,B,Y,Y,10092015,1810,1,1,1,1,0,0,1,0,0,0,0
3674,2015,110,Y,145.05,other,16,F,B,N,Y,11042015,535,1,0,1,0,1,0,1,0,0,0,0
3675,2015,110,Y,145.05,other,17,F,W,N,Y,11042015,535,1,0,1,0,1,0,0,0,0,1,0
3676,2015,110,Y,145.05,other,20,M,B,Y,Y,11042015,535,1,1,1,1,0,0,1,0,0,0,0
3677,2015,110,Y,145.05,other,19,M,Q,Y,Y,11042015,535,1,1,1,1,0,0,0,0,1,0,0
3670,2015,110,Y,145.2,other,23,M,A,Y,N,10292015,2035,1,1,0,1,0,1,0,0,0,0,0
3130,2015,90,Y,145.5,other,14,M,B,Y,Y,10132015,1455,1,1,1,1,0,0,1,0,0,0,0
112,2015,9,Y,145.6,other,18,F,A,N,Y,3282015,15,1,0,1,0,1,1,0,0,0,0,0
114,2015,9,Y,145.6,other,19,M,Q,N,Y,3282015,15,1,0,1,1,0,0,0,0,1,0,0
2264,2015,49,Y,145.6,other,23,M,Q,Y,Y,11112015,2240,1,1,1,1,0,0,0,0,1,0,0
2265,2015,49,Y,145.6,other,19,M,Q,Y,Y,11112015,2240,1,1,1,1,0,0,0,0,1,0,0
180,2015,13,Y,155.25,larceny,44,M,B,Y,Y,1212015,1028,1,1,1,1,0,0,1,0,0,0,0
229,2015,13,Y,155.25,larceny,60,M,B,Y,Y,6192015,358,1,1,1,1,0,0,1,0,0,0,0
248,2015,13,Y,155.25,larceny,24,M,B,Y,Y,8062015,845,1,1,1,1,0,0,1,0,0,0,0
278,2015,13,Y,155.25,larceny,64,M,P,Y,Y,12022015,1700,1,1,1,1,0,0,0,0,1,0,0
282,2015,13,Y,155.25,larceny,44,M,Q,Y,Y,12102015,1632,1,1,1,1,0,0,0,0,1,0,0
357,2015,17,Y,155.25,larceny,46,M,B,Y,N,10102015,1300,1,1,0,1,0,0,1,0,0,0,0
358,2015,17,Y,155.25,larceny,48,M,B,Y,N,10102015,1300,1,1,0,1,0,0,1,0,0,0,0
395,2015,19,Y,155.25,larceny,14,M,B,Y,Y,2142015,1257,1,1,1,1,0,0,1,0,0,0,0
409,2015,19,Y,155.25,larceny,46,M,Q,Y,N,3312015,1200,1,1,0,1,0,0,0,0,1,0,0
422,2015,19,Y,155.25,larceny,49,M,P,Y,N,5142015,1400,1,1,0,1,0,0,0,0,1,0,0
438,2015,19,Y,155.25,larceny,37,M,P,Y,N,7152015,1150,1,1,0,1,0,0,0,0,1,0,0
446,2015,19,Y,155.25,larceny,51,M,B,Y,N,8062015,1415,1,1,0,1,0,0,1,0,0,0,0
447,2015,19,Y,155.25,larceny,54,M,B,Y,N,8072015,1425,1,1,0,1,0,0,1,0,0,0,0
448,2015,19,Y,155.25,larceny,52,M,B,Y,N,8072015,1425,1,1,0,1,0,0,1,0,0,0,0
460,2015,19,Y,155.25,larceny,34,M,P,Y,N,10092015,1510,1,1,0,1,0,0,0,0,1,0,0
465,2015,19,Y,155.25,larceny,45,M,P,Y,Y,10172015,930,1,1,1,1,0,0,0,0,1,0,0
471,2015,19,Y,155.25,larceny,180,M,B,Y,N,11112015,1400,1,1,0,1,0,0,1,0,0,0,0
474,2015,19,Y,155.25,larceny,51,M,B,Y,N,11242015,1604,1,1,0,1,0,0,1,0,0,0,0
475,2015,19,Y,155.25,larceny,47,M,B,Y,N,11252015,1255,1,1,0,1,0,0,1,0,0,0,0
478,2015,19,Y,155.25,larceny,54,F,P,Y,N,12032015,1255,1,1,0,0,1,0,0,0,1,0,0
493,2015,20,Y,155.25,larceny,41,F,W,Y,Y,4152015,1524,1,1,1,0,1,0,0,0,0,1,0
546,2015,23,Y,155.25,larceny,57,F,Q,Y,Y,7222015,1940,1,1,1,0,1,0,0,0,1,0,0
547,2015,23,Y,155.25,larceny,47,M,Q,Y,Y,7222015,1940,1,1,1,1,0,0,0,0,1,0,0
2479,2015,62,Y,155.25,larceny,19,M,Q,Y,Y,8142015,2342,1,1,1,1,0,0,0,0,1,0,0
2521,2015,66,Y,155.25,larceny,23,M,Q,Y,N,4282015,1900,1,1,0,1,0,0,0,0,1,0,0
2548,2015,66,Y,155.25,larceny,21,M,B,Y,Y,7172015,1411,1,1,1,1,0,0,1,0,0,0,0
2764,2015,73,Y,155.25,larceny,46,M,B,N,Y,3272015,2012,1,0,1,1,0,0,1,0,0,0,0
2783,2015,73,Y,155.25,larceny,29,M,W,Y,Y,9272015,642,1,1,1,1,0,0,0,0,0,1,0
2818,2015,75,Y,155.25,larceny,38,M,B,N,N,3302015,1812,1,0,0,1,0,0,1,0,0,0,0
2838,2015,75,Y,155.25,larceny,30,F,B,N,N,5272015,1430,1,0,0,0,1,0,1,0,0,0,0
2893,2015,76,Y,155.25,larceny,42,M,Q,Y,N,9092015,205,1,1,0,1,0,0,0,0,1,0,0
3111,2015,90,Y,155.25,larceny,41,M,Q,N,Y,2072015,1007,1,0,1,1,0,0,0,0,1,0,0
3243,2015,102,Y,155.25,larceny,33,M,Q,Y,Y,5132015,1315,1,1,1,1,0,0,0,0,1,0,0
3713,2015,111,Y,155.25,larceny,19,M,W,Y,Y,9092015,124,1,1,1,1,0,0,0,0,0,1,0
3723,2015,112,Y,155.25,larceny,26,M,Q,Y,Y,3282015,1931,1,1,1,1,0,0,0,0,1,0,0
3785,2015,114,Y,155.25,larceny,40,M,U,Y,Y,8282015,1337,1,1,1,1,0,0,0,0,0,0,0
168,2015,13,Y,155.3,larceny,25,F,B,Y,Y,1072015,1512,1,1,1,0,1,0,1,0,0,0,0
205,2015,13,Y,155.3,larceny,15,M,B,Y,Y,4242015,1700,1,1,1,1,0,0,1,0,0,0,0
293,2015,14,Y,155.3,larceny,53,M,B,Y,N,2022015,1157,1,1,0,1,0,0,1,0,0,0,0
415,2015,19,Y,155.3,larceny,53,M,P,Y,Y,4222015,1055,1,1,1,1,0,0,0,0,1,0,0
489,2015,20,Y,155.3,larceny,41,M,B,Y,Y,3112015,1250,1,1,1,1,0,0,1,0,0,0,0
1032,2015,40,Y,155.3,larceny,38,M,Q,Y,N,4262015,945,1,1,0,1,0,0,0,0,1,0,0
2239,2015,49,Y,155.3,larceny,40,M,W,Y,N,9202015,526,1,1,0,1,0,0,0,0,0,1,0
2570,2015,66,Y,155.3,larceny,34,M,Q,Y,N,9082015,1845,1,1,0,1,0,0,0,0,1,0,0
2799,2015,75,Y,155.3,larceny,17,M,B,Y,Y,1062015,1205,1,1,1,1,0,0,1,0,0,0,0
3431,2015,106,Y,155.3,larceny,25,M,Q,Y,N,3102015,356,1,1,0,1,0,0,0,0,1,0,0
3433,2015,106,Y,155.3,larceny,25,M,Q,Y,N,3102015,356,1,1,0,1,0,0,0,0,1,0,0
3702,2015,111,Y,155.3,larceny,17,M,B,Y,N,3042015,1610,1,1,0,1,0,0,1,0,0,0,0
