´ŽèSchoolName,CONTENT_AREA,CATEGORY,TYPE,GRADE_SUBJECT,YEAR,ACCOUNTABLE,PARTICIPANT,REPORTABLE,LEVEL_NOT_DETERMINED,LEVEL_NOT_DETERMINED_PCT,BELOW_BASIC,BELOW_BASIC_PCT,BASIC,BASIC_PCT,PROFICIENT,PROFICIENT_PCT,ADVANCED,ADVANCED_PCT,MAP_INDEX,MEAN_SCALE_SCORE,MEDIAN_TERRANOVA
State Overall,Eng. Language Arts,Total,Total,Third Grade,2015,"68,873",,"68,729",144,*,"13,468",19.6,"15,959",23.2,"16,678",24.3,"22,624",32.9,,2446.2,--
State Overall,Eng. Language Arts,Total,Total,Fourth Grade,2015,"67,894",,"67,749",145,*,"14,812",21.9,"13,314",19.7,"17,370",25.6,"22,253",32.8,,2487,--
State Overall,Eng. Language Arts,Total,Total,Fifth Grade,2015,"67,352",,"67,223",129,*,"12,768",19,"14,748",21.9,"24,126",35.9,"15,581",23.2,,2517.4,--
State Overall,Eng. Language Arts,Total,Total,Sixth Grade,2015,"67,004",,"66,858",146,*,"13,246",19.8,"16,877",25.2,"23,511",35.2,"13,224",19.8,,2537.2,--
State Overall,Eng. Language Arts,Total,Total,Seventh Grade,2015,"66,902",,"66,736",166,*,"12,435",18.6,"16,120",24.2,"25,819",38.7,"12,362",18.5,,2563.7,--
State Overall,Eng. Language Arts,Total,Total,Eighth Grade,2015,"67,458",,"67,292",166,*,"10,101",15,"18,480",27.5,"27,185",40.4,"11,526",17.1,,2581.2,--
State Overall,Eng. Language Arts,Total,Total,Eleventh Grade,2015,849,,849,*,*,292,34.4,125,14.7,207,24.4,225,26.5,,0,--
State Overall,Mathematics,Total,Total,Third Grade,2015,"68,873",,"68,843",30,*,"14,944",21.7,"18,322",26.6,"21,087",30.6,"14,490",21,,2439.1,--
State Overall,Mathematics,Total,Total,Fourth Grade,2015,"67,907",,"67,883",24,*,"11,715",17.3,"22,790",33.6,"20,184",29.7,"13,194",19.4,,2483.1,--
State Overall,Mathematics,Total,Total,Fifth Grade,2015,"67,394",,"67,370",24,*,"19,367",28.7,"21,341",31.7,"13,504",20,"13,158",19.5,,2504.3,--
State Overall,Mathematics,Total,Total,Sixth Grade,2015,"66,963",,"66,910",53,*,"19,480",29.1,"22,123",33.1,"14,364",21.5,"10,943",16.4,,2521.3,--
State Overall,Mathematics,Total,Total,Seventh Grade,2015,"65,939",,"65,866",73,*,"20,948",31.8,"21,832",33.1,"13,850",21,"9,236",14,,2529.8,--
State Overall,Mathematics,Total,Total,Eighth Grade,2015,"53,727",,"53,645",82,*,"21,289",39.7,"17,297",32.2,"9,695",18.1,"5,364",10,,2530.1,--
State Overall,Mathematics,Total,Total,Eleventh Grade,2015,835,,835,*,*,380,45.5,292,35,145,17.4,18,*,,0,--
State Overall,Science,Total,Total,Fifth Grade,2015,"67,303",,"67,261",42,*,"7,066",10.5,"28,215",41.9,"19,357",28.8,"12,623",18.8,,664,--
State Overall,Science,Total,Total,Eighth Grade,2015,"67,408",,"67,305",103,*,"11,107",16.5,"22,920",34.1,"26,229",39,"7,049",10.5,,698.2,--
State Overall,Science,Total,Total,Eleventh Grade,2015,827,,813,14,*,13,*,46,5.7,200,24.6,554,68.1,,0,--
District Overall,Eng. Language Arts,Total,Total,Third Grade,2015,"2,040",,"2,025",15,*,947,46.8,520,25.7,272,13.4,286,14.1,,2383.7,--
District Overall,Eng. Language Arts,Total,Total,Fourth Grade,2015,"1,862",,"1,845",17,*,901,48.8,358,19.4,351,19,235,12.7,,2423.9,--
District Overall,Eng. Language Arts,Total,Total,Fifth Grade,2015,"1,715",,"1,698",17,*,744,43.8,399,23.5,406,23.9,149,8.8,,2458.3,--
District Overall,Eng. Language Arts,Total,Total,Sixth Grade,2015,"1,544",,"1,528",16,*,685,44.8,427,27.9,295,19.3,121,7.9,,2472.7,--
