"","School.Name","CONTENT_AREA","CATEGORY","TYPE","GRADE_SUBJECT","YEAR","ACCOUNTABLE","PARTICIPANT","REPORTABLE","LEVEL_NOT_DETERMINED","LEVEL_NOT_DETERMINED_PCT","BELOW_BASIC","BELOW_BASIC_PCT","BASIC","BASIC_PCT","PROFICIENT","PROFICIENT_PCT","ADVANCED","ADVANCED_PCT","MAP_INDEX","MEAN_SCALE_SCORE","MEDIAN_TERRANOVA"
"1","State Overall","Eng. Language Arts","Total","Total","Third Grade",2015,68873,NA,68729,144,NA,13468,19.6,15959,23.2,16678,24.3,22624,32.9,NA,2446.2,"--"
"2","State Overall","Eng. Language Arts","Total","Total","Fourth Grade",2015,67894,NA,67749,145,NA,14812,21.9,13314,19.7,17370,25.6,22253,32.8,NA,2487,"--"
"3","State Overall","Eng. Language Arts","Total","Total","Fifth Grade",2015,67352,NA,67223,129,NA,12768,19,14748,21.9,24126,35.9,15581,23.2,NA,2517.4,"--"
"4","State Overall","Eng. Language Arts","Total","Total","Sixth Grade",2015,67004,NA,66858,146,NA,13246,19.8,16877,25.2,23511,35.2,13224,19.8,NA,2537.2,"--"
"5","State Overall","Eng. Language Arts","Total","Total","Seventh Grade",2015,66902,NA,66736,166,NA,12435,18.6,16120,24.2,25819,38.7,12362,18.5,NA,2563.7,"--"
"6","State Overall","Eng. Language Arts","Total","Total","Eighth Grade",2015,67458,NA,67292,166,NA,10101,15,18480,27.5,27185,40.4,11526,17.1,NA,2581.2,"--"
"7","State Overall","Eng. Language Arts","Total","Total","Eleventh Grade",2015,849,NA,849,NA,NA,292,34.4,125,14.7,207,24.4,225,26.5,NA,0,"--"
"8","State Overall","Mathematics","Total","Total","Third Grade",2015,68873,NA,68843,30,NA,14944,21.7,18322,26.6,21087,30.6,14490,21,NA,2439.1,"--"
"9","State Overall","Mathematics","Total","Total","Fourth Grade",2015,67907,NA,67883,24,NA,11715,17.3,22790,33.6,20184,29.7,13194,19.4,NA,2483.1,"--"
"10","State Overall","Mathematics","Total","Total","Fifth Grade",2015,67394,NA,67370,24,NA,19367,28.7,21341,31.7,13504,20,13158,19.5,NA,2504.3,"--"
"11","State Overall","Mathematics","Total","Total","Sixth Grade",2015,66963,NA,66910,53,NA,19480,29.1,22123,33.1,14364,21.5,10943,16.4,NA,2521.3,"--"
"12","State Overall","Mathematics","Total","Total","Seventh Grade",2015,65939,NA,65866,73,NA,20948,31.8,21832,33.1,13850,21,9236,14,NA,2529.8,"--"
"13","State Overall","Mathematics","Total","Total","Eighth Grade",2015,53727,NA,53645,82,NA,21289,39.7,17297,32.2,9695,18.1,5364,10,NA,2530.1,"--"
"14","State Overall","Mathematics","Total","Total","Eleventh Grade",2015,835,NA,835,NA,NA,380,45.5,292,35,145,17.4,18,NA,NA,0,"--"
"15","State Overall","Science","Total","Total","Fifth Grade",2015,67303,NA,67261,42,NA,7066,10.5,28215,41.9,19357,28.8,12623,18.8,NA,664,"--"
"16","State Overall","Science","Total","Total","Eighth Grade",2015,67408,NA,67305,103,NA,11107,16.5,22920,34.1,26229,39,7049,10.5,NA,698.2,"--"
"17","State Overall","Science","Total","Total","Eleventh Grade",2015,827,NA,813,14,NA,13,NA,46,5.7,200,24.6,554,68.1,NA,0,"--"
"18","District Overall","Eng. Language Arts","Total","Total","Third Grade",2015,2040,NA,2025,15,NA,947,46.8,520,25.7,272,13.4,286,14.1,NA,2383.7,"--"
"19","District Overall","Eng. Language Arts","Total","Total","Fourth Grade",2015,1862,NA,1845,17,NA,901,48.8,358,19.4,351,19,235,12.7,NA,2423.9,"--"
