Name,Year,Out_School_Suspension
ACAD OF ENVT SCI/MATH ELEM,2008,
ACAD OF ENVT SCI/MATH ELEM,2009,
ACAD OF ENVT SCI/MATH ELEM,2010,
ACAD OF ENVT SCI/MATH ELEM,2011,
ACAD OF ENVT SCI/MATH ELEM,2012,
ACAD OF ENVT SCI/MATH ELEM,2013,0.6
ACAD OF ENVT SCI/MATH ELEM,2014,0.4
ACAD OF ENVT SCI/MATH ELEM,2015,2.7
ACAD OF ENVT SCI/MATH MIDDLE,2008,
ACAD OF ENVT SCI/MATH MIDDLE,2009,
ACAD OF ENVT SCI/MATH MIDDLE,2010,
ACAD OF ENVT SCI/MATH MIDDLE,2011,
ACAD OF ENVT SCI/MATH MIDDLE,2012,
ACAD OF ENVT SCI/MATH MIDDLE,2013,2
ACAD OF ENVT SCI/MATH MIDDLE,2014,11.1
ACAD OF ENVT SCI/MATH MIDDLE,2015,5.3
ADAMS ELEM.,2008,0.3
ADAMS ELEM.,2009,0
ADAMS ELEM.,2010,0.9
ADAMS ELEM.,2011,1
ADAMS ELEM.,2012,0.4
ADAMS ELEM.,2013,0
ADAMS ELEM.,2014,1.3
ADAMS ELEM.,2015,2.2
AMES VISUAL/PERF. ARTS,2008,0
AMES VISUAL/PERF. ARTS,2009,0.3
AMES VISUAL/PERF. ARTS,2010,1.3
AMES VISUAL/PERF. ARTS,2011,3.2
AMES VISUAL/PERF. ARTS,2012,0
AMES VISUAL/PERF. ARTS,2013,0
AMES VISUAL/PERF. ARTS,2014,0.5
AMES VISUAL/PERF. ARTS,2015,0
ASHLAND ELEM. AND BR.,2008,7.3
ASHLAND ELEM. AND BR.,2009,0
ASHLAND ELEM. AND BR.,2010,0.9
ASHLAND ELEM. AND BR.,2011,1.4
ASHLAND ELEM. AND BR.,2012,1.9
ASHLAND ELEM. AND BR.,2013,2.4
ASHLAND ELEM. AND BR.,2014,0.6
ASHLAND ELEM. AND BR.,2015,0
BADEN ELEM.,2008,0.3
BADEN ELEM.,2009,0
BADEN ELEM.,2010,
BADEN ELEM.,2011,
BADEN ELEM.,2012,
BADEN ELEM.,2013,
BADEN ELEM.,2014,
BADEN ELEM.,2015,
BEAUMONT CTE HIGH SCHOOL,2008,19.9
BEAUMONT CTE HIGH SCHOOL,2009,26.6
BEAUMONT CTE HIGH SCHOOL,2010,13.6
BEAUMONT CTE HIGH SCHOOL,2011,16.4
BEAUMONT CTE HIGH SCHOOL,2012,7.8
BEAUMONT CTE HIGH SCHOOL,2013,2.6
BEAUMONT CTE HIGH SCHOOL,2014,3.2
BEAUMONT CTE HIGH SCHOOL,2015,2.9
BIG PICTURE ELEM. ALT.,2008,6.9
BIG PICTURE ELEM. ALT.,2009,11.1
BIG PICTURE ELEM. ALT.,2010,
BIG PICTURE ELEM. ALT.,2011,
BIG PICTURE ELEM. ALT.,2012,
BIG PICTURE ELEM. ALT.,2013,
BIG PICTURE ELEM. ALT.,2014,
BIG PICTURE ELEM. ALT.,2015,
BIG PICTURE MIDDLE & HIGH @ NW,2008,4.6
BIG PICTURE MIDDLE & HIGH @ NW,2009,4.7
BIG PICTURE MIDDLE & HIGH @ NW,2010,3.6
BIG PICTURE MIDDLE & HIGH @ NW,2011,2.5
BIG PICTURE MIDDLE & HIGH @ NW,2012,
BIG PICTURE MIDDLE & HIGH @ NW,2013,
BIG PICTURE MIDDLE & HIGH @ NW,2014,
BIG PICTURE MIDDLE & HIGH @ NW,2015,
BIG PICTURE MIDDLE ALT.,2008,15
BIG PICTURE MIDDLE ALT.,2009,6.3
BIG PICTURE MIDDLE ALT.,2010,
BIG PICTURE MIDDLE ALT.,2011,
BIG PICTURE MIDDLE ALT.,2012,
BIG PICTURE MIDDLE ALT.,2013,
BIG PICTURE MIDDLE ALT.,2014,
BIG PICTURE MIDDLE ALT.,2015,
