"","Name","YEAR","ENROLLMENT","TotalNumberOfIncidents"
"1","GRISCOM JUVENILE DETENTION CTR (1015)",2008,46,0
"2","GRISCOM JUVENILE DETENTION CTR (1015)",2009,23,4
"3","GRISCOM JUVENILE DETENTION CTR (1015)",2010,36,0
"4","GRISCOM JUVENILE DETENTION CTR (1015)",2011,43,0
"5","GRISCOM JUVENILE DETENTION CTR (1015)",NA,NA,NA
"6","GRISCOM JUVENILE DETENTION CTR (1015)",NA,NA,NA
"7","GRISCOM JUVENILE DETENTION CTR (1015)",NA,NA,NA
"8","GRISCOM JUVENILE DETENTION CTR (1015)",2015,12,0
"9","BIG PICTURE ELEM. ALT. (1021)",2008,58,4
"10","BIG PICTURE ELEM. ALT. (1021)",2009,63,7
"11","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"12","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"13","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"14","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"15","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"16","BIG PICTURE ELEM. ALT. (1021)",NA,NA,NA
"17","BIG PICTURE MIDDLE ALT. (1022)",2008,60,9
"18","BIG PICTURE MIDDLE ALT. (1022)",2009,64,4
"19","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"20","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"21","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"22","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"23","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"24","BIG PICTURE MIDDLE ALT. (1022)",NA,NA,NA
"25","BIG PICTURE MIDDLE & HIGH @ NW (1023)",2008,65,3
"26","BIG PICTURE MIDDLE & HIGH @ NW (1023)",2009,85,4
"27","BIG PICTURE MIDDLE & HIGH @ NW (1023)",2010,139,5
"28","BIG PICTURE MIDDLE & HIGH @ NW (1023)",2011,121,3
"29","BIG PICTURE MIDDLE & HIGH @ NW (1023)",NA,NA,NA
"30","BIG PICTURE MIDDLE & HIGH @ NW (1023)",NA,NA,NA
"31","BIG PICTURE MIDDLE & HIGH @ NW (1023)",NA,NA,NA
"32","BIG PICTURE MIDDLE & HIGH @ NW (1023)",NA,NA,NA
"33","MILLER CAREER ACADEMY (1100)",2008,712,33
"34","MILLER CAREER ACADEMY (1100)",2009,729,92
"35","MILLER CAREER ACADEMY (1100)",2010,725,21
"36","MILLER CAREER ACADEMY (1100)",2011,703,1
"37","MILLER CAREER ACADEMY (1100)",2012,807,19
"38","MILLER CAREER ACADEMY (1100)",2013,788,15
"39","MILLER CAREER ACADEMY (1100)",2014,710,3
"40","MILLER CAREER ACADEMY (1100)",2015,685,24
"41","GATEWAY HIGH (1220)",2008,1213,118
"42","GATEWAY HIGH (1220)",2009,1154,52
"43","GATEWAY HIGH (1220)",2010,1123,77
"44","GATEWAY HIGH (1220)",2011,1165,57
"45","GATEWAY HIGH (1220)",2012,1200,37
"46","GATEWAY HIGH (1220)",2013,1177,35
"47","GATEWAY HIGH (1220)",2014,1158,22
"48","GATEWAY HIGH (1220)",2015,1121,26
"49","COMMUNITY ACCESS JOB TRAINING (1222)",2008,145,5
"50","COMMUNITY ACCESS JOB TRAINING (1222)",2009,131,2
"51","COMMUNITY ACCESS JOB TRAINING (1222)",2010,141,0
"52","COMMUNITY ACCESS JOB TRAINING (1222)",2011,131,0
"53","COMMUNITY ACCESS JOB TRAINING (1222)",2012,123,0
"54","COMMUNITY ACCESS JOB TRAINING (1222)",2013,132,0
"55","COMMUNITY ACCESS JOB TRAINING (1222)",2014,119,0
"56","COMMUNITY ACCESS JOB TRAINING (1222)",2015,136,0
"57","BEAUMONT CTE HIGH SCHOOL (1250)",2008,1062,211
"58","BEAUMONT CTE HIGH SCHOOL (1250)",2009,899,244
"59","BEAUMONT CTE HIGH SCHOOL (1250)",2010,782,109
"60","BEAUMONT CTE HIGH SCHOOL (1250)",2011,714,118
"61","BEAUMONT CTE HIGH SCHOOL (1250)",2012,335,26
"62","BEAUMONT CTE HIGH SCHOOL (1250)",2013,152,4
"63","BEAUMONT CTE HIGH SCHOOL (1250)",2014,63,2
"64","BEAUMONT CTE HIGH SCHOOL (1250)",2015,442,14
"65","CLEVELAND NJROTC ACADEMY (1440)",2008,347,27
"66","CLEVELAND NJROTC ACADEMY (1440)",2009,268,7
"67","CLEVELAND NJROTC ACADEMY (1440)",2010,238,14
"68","CLEVELAND NJROTC ACADEMY (1440)",2011,257,6
"69","CLEVELAND NJROTC ACADEMY (1440)",2012,260,12
"70","CLEVELAND NJROTC ACADEMY (1440)",2013,279,10
"71","CLEVELAND NJROTC ACADEMY (1440)",2014,299,10
"72","CLEVELAND NJROTC ACADEMY (1440)",2015,290,13
"73","CARNAHAN SCH. OF THE FUTURE (1500)",2008,198,2
"74","CARNAHAN SCH. OF THE FUTURE (1500)",2009,290,13
"75","CARNAHAN SCH. OF THE FUTURE (1500)",2010,393,18
"76","CARNAHAN SCH. OF THE FUTURE (1500)",2011,354,5
"77","CARNAHAN SCH. OF THE FUTURE (1500)",2012,376,13
