,Name,Year,Out_School_Suspension
1,ACAD OF ENVT SCI/MATH ELEM,2008,NA
2,ACAD OF ENVT SCI/MATH ELEM,2009,NA
3,ACAD OF ENVT SCI/MATH ELEM,2010,NA
4,ACAD OF ENVT SCI/MATH ELEM,2011,NA
5,ACAD OF ENVT SCI/MATH ELEM,2012,NA
6,ACAD OF ENVT SCI/MATH ELEM,2013,0.6
7,ACAD OF ENVT SCI/MATH ELEM,2014,0.4
8,ACAD OF ENVT SCI/MATH ELEM,2015,2.7
9,ACAD OF ENVT SCI/MATH MIDDLE,2008,NA
10,ACAD OF ENVT SCI/MATH MIDDLE,2009,NA
11,ACAD OF ENVT SCI/MATH MIDDLE,2010,NA
12,ACAD OF ENVT SCI/MATH MIDDLE,2011,NA
13,ACAD OF ENVT SCI/MATH MIDDLE,2012,NA
14,ACAD OF ENVT SCI/MATH MIDDLE,2013,2
15,ACAD OF ENVT SCI/MATH MIDDLE,2014,11.1
16,ACAD OF ENVT SCI/MATH MIDDLE,2015,5.3
17,ADAMS ELEM.,2008,0.3
18,ADAMS ELEM.,2009,0
19,ADAMS ELEM.,2010,0.9
20,ADAMS ELEM.,2011,1
21,ADAMS ELEM.,2012,0.4
22,ADAMS ELEM.,2013,0
23,ADAMS ELEM.,2014,1.3
24,ADAMS ELEM.,2015,2.2
25,AMES VISUAL/PERF. ARTS,2008,0
26,AMES VISUAL/PERF. ARTS,2009,0.3
27,AMES VISUAL/PERF. ARTS,2010,1.3
28,AMES VISUAL/PERF. ARTS,2011,3.2
29,AMES VISUAL/PERF. ARTS,2012,0
30,AMES VISUAL/PERF. ARTS,2013,0
31,AMES VISUAL/PERF. ARTS,2014,0.5
32,AMES VISUAL/PERF. ARTS,2015,0
33,ASHLAND ELEM. AND BR.,2008,7.3
34,ASHLAND ELEM. AND BR.,2009,0
35,ASHLAND ELEM. AND BR.,2010,0.9
36,ASHLAND ELEM. AND BR.,2011,1.4
37,ASHLAND ELEM. AND BR.,2012,1.9
38,ASHLAND ELEM. AND BR.,2013,2.4
39,ASHLAND ELEM. AND BR.,2014,0.6
40,ASHLAND ELEM. AND BR.,2015,0
41,BADEN ELEM.,2008,0.3
42,BADEN ELEM.,2009,0
43,BADEN ELEM.,2010,NA
44,BADEN ELEM.,2011,NA
45,BADEN ELEM.,2012,NA
46,BADEN ELEM.,2013,NA
47,BADEN ELEM.,2014,NA
48,BADEN ELEM.,2015,NA
49,BEAUMONT CTE HIGH SCHOOL,2008,19.9
50,BEAUMONT CTE HIGH SCHOOL,2009,26.6
51,BEAUMONT CTE HIGH SCHOOL,2010,13.6
52,BEAUMONT CTE HIGH SCHOOL,2011,16.4
53,BEAUMONT CTE HIGH SCHOOL,2012,7.8
54,BEAUMONT CTE HIGH SCHOOL,2013,2.6
55,BEAUMONT CTE HIGH SCHOOL,2014,3.2
56,BEAUMONT CTE HIGH SCHOOL,2015,2.9
57,BIG PICTURE ELEM. ALT.,2008,6.9
58,BIG PICTURE ELEM. ALT.,2009,11.1
59,BIG PICTURE ELEM. ALT.,2010,NA
60,BIG PICTURE ELEM. ALT.,2011,NA
61,BIG PICTURE ELEM. ALT.,2012,NA
62,BIG PICTURE ELEM. ALT.,2013,NA
63,BIG PICTURE ELEM. ALT.,2014,NA
64,BIG PICTURE ELEM. ALT.,2015,NA
65,BIG PICTURE MIDDLE & HIGH @ NW,2008,4.6
66,BIG PICTURE MIDDLE & HIGH @ NW,2009,4.7
67,BIG PICTURE MIDDLE & HIGH @ NW,2010,3.6
68,BIG PICTURE MIDDLE & HIGH @ NW,2011,2.5
69,BIG PICTURE MIDDLE & HIGH @ NW,2012,NA
70,BIG PICTURE MIDDLE & HIGH @ NW,2013,NA
71,BIG PICTURE MIDDLE & HIGH @ NW,2014,NA
72,BIG PICTURE MIDDLE & HIGH @ NW,2015,NA
73,BIG PICTURE MIDDLE ALT.,2008,15
74,BIG PICTURE MIDDLE ALT.,2009,6.3
75,BIG PICTURE MIDDLE ALT.,2010,NA
76,BIG PICTURE MIDDLE ALT.,2011,NA
77,BIG PICTURE MIDDLE ALT.,2012,NA
78,BIG PICTURE MIDDLE ALT.,2013,NA
79,BIG PICTURE MIDDLE ALT.,2014,NA
80,BIG PICTURE MIDDLE ALT.,2015,NA
81,BLEWETT MIDDLE,2008,7.2
82,BLEWETT MIDDLE,2009,26.9
83,BLEWETT MIDDLE,2010,0
84,BLEWETT MIDDLE,2011,0
85,BLEWETT MIDDLE,2012,0
86,BLEWETT MIDDLE,2013,NA
87,BLEWETT MIDDLE,2014,NA
88,BLEWETT MIDDLE,2015,NA
89,BLOW MIDDLE,2008,9.9
90,BLOW MIDDLE,2009,NA
91,BLOW MIDDLE,2010,NA
92,BLOW MIDDLE,2011,NA
93,BLOW MIDDLE,2012,NA
94,BLOW MIDDLE,2013,NA
95,BLOW MIDDLE,2014,NA
96,BLOW MIDDLE,2015,NA
97,BRYAN HILL ELEM.,2008,1.7
98,BRYAN HILL ELEM.,2009,0.6
99,BRYAN HILL ELEM.,2010,3.4
100,BRYAN HILL ELEM.,2011,0.6
101,BRYAN HILL ELEM.,2012,0
102,BRYAN HILL ELEM.,2013,0
103,BRYAN HILL ELEM.,2014,1.2
104,BRYAN HILL ELEM.,2015,0
105,BUDER ELEM.,2008,0
106,BUDER ELEM.,2009,0
107,BUDER ELEM.,2010,0.3
108,BUDER ELEM.,2011,0.6
109,BUDER ELEM.,2012,0
110,BUDER ELEM.,2013,0
111,BUDER ELEM.,2014,0
112,BUDER ELEM.,2015,0
113,BUNCHE INTERNATIONAL STUDIES,2008,7
114,BUNCHE INTERNATIONAL STUDIES,2009,3.1
115,BUNCHE INTERNATIONAL STUDIES,2010,9.5
116,BUNCHE INTERNATIONAL STUDIES,2011,10.7
117,BUNCHE INTERNATIONAL STUDIES,2012,NA
118,BUNCHE INTERNATIONAL STUDIES,2013,NA
119,BUNCHE INTERNATIONAL STUDIES,2014,NA
120,BUNCHE INTERNATIONAL STUDIES,2015,NA
121,BUSCH MS CHARACTER & ATHLETICS,2008,1.3
122,BUSCH MS CHARACTER & ATHLETICS,2009,4.3
123,BUSCH MS CHARACTER & ATHLETICS,2010,3
124,BUSCH MS CHARACTER & ATHLETICS,2011,1.3
125,BUSCH MS CHARACTER & ATHLETICS,2012,1.7
126,BUSCH MS CHARACTER & ATHLETICS,2013,2.8
127,BUSCH MS CHARACTER & ATHLETICS,2014,2.1
128,BUSCH MS CHARACTER & ATHLETICS,2015,1.1
129,CARDINAL GLENNON HOSPITAL,2008,0
130,CARDINAL GLENNON HOSPITAL,2009,0
131,CARDINAL GLENNON HOSPITAL,2010,0
132,CARDINAL GLENNON HOSPITAL,2011,0
133,CARDINAL GLENNON HOSPITAL,2012,0
134,CARDINAL GLENNON HOSPITAL,2013,0
135,CARDINAL GLENNON HOSPITAL,2014,0
136,CARDINAL GLENNON HOSPITAL,2015,0
137,CARNAHAN SCH. OF THE FUTURE,2008,1
138,CARNAHAN SCH. OF THE FUTURE,2009,4.5
139,CARNAHAN SCH. OF THE FUTURE,2010,4.3
140,CARNAHAN SCH. OF THE FUTURE,2011,1.4
141,CARNAHAN SCH. OF THE FUTURE,2012,3.5
142,CARNAHAN SCH. OF THE FUTURE,2013,3.2
143,CARNAHAN SCH. OF THE FUTURE,2014,1.9
144,CARNAHAN SCH. OF THE FUTURE,2015,3.6
145,CARR LANE VPA MIDDLE,2008,2.3
146,CARR LANE VPA MIDDLE,2009,4.2
147,CARR LANE VPA MIDDLE,2010,1.6
148,CARR LANE VPA MIDDLE,2011,4.2
149,CARR LANE VPA MIDDLE,2012,4.3
150,CARR LANE VPA MIDDLE,2013,3.2
151,CARR LANE VPA MIDDLE,2014,2
152,CARR LANE VPA MIDDLE,2015,1.8
153,CENTRAL VISUAL/PERF. ARTS HIGH,2008,5.5
154,CENTRAL VISUAL/PERF. ARTS HIGH,2009,9.1
155,CENTRAL VISUAL/PERF. ARTS HIGH,2010,0.4
156,CENTRAL VISUAL/PERF. ARTS HIGH,2011,3.3
157,CENTRAL VISUAL/PERF. ARTS HIGH,2012,3.8
