Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
GRISCOM JUVENILE DETENTION CTR (1015),2008,46,0
GRISCOM JUVENILE DETENTION CTR (1015),2009,23,4
GRISCOM JUVENILE DETENTION CTR (1015),2010,36,0
GRISCOM JUVENILE DETENTION CTR (1015),2011,43,0
GRISCOM JUVENILE DETENTION CTR (1015),,,
GRISCOM JUVENILE DETENTION CTR (1015),,,
GRISCOM JUVENILE DETENTION CTR (1015),,,
GRISCOM JUVENILE DETENTION CTR (1015),2015,12,0
BIG PICTURE ELEM. ALT. (1021),2008,58,4
BIG PICTURE ELEM. ALT. (1021),2009,63,7
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE ELEM. ALT. (1021),,,
BIG PICTURE MIDDLE ALT. (1022),2008,60,9
BIG PICTURE MIDDLE ALT. (1022),2009,64,4
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE ALT. (1022),,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),2008,65,3
BIG PICTURE MIDDLE & HIGH @ NW (1023),2009,85,4
BIG PICTURE MIDDLE & HIGH @ NW (1023),2010,139,5
BIG PICTURE MIDDLE & HIGH @ NW (1023),2011,121,3
BIG PICTURE MIDDLE & HIGH @ NW (1023),,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),,,
BIG PICTURE MIDDLE & HIGH @ NW (1023),,,
MILLER CAREER ACADEMY (1100),2008,712,33
MILLER CAREER ACADEMY (1100),2009,729,92
MILLER CAREER ACADEMY (1100),2010,725,21
MILLER CAREER ACADEMY (1100),2011,703,1
MILLER CAREER ACADEMY (1100),2012,807,19
MILLER CAREER ACADEMY (1100),2013,788,15
MILLER CAREER ACADEMY (1100),2014,710,3
MILLER CAREER ACADEMY (1100),2015,685,24
GATEWAY HIGH (1220),2008,"1,213",118
GATEWAY HIGH (1220),2009,"1,154",52
GATEWAY HIGH (1220),2010,"1,123",77
GATEWAY HIGH (1220),2011,"1,165",57
GATEWAY HIGH (1220),2012,"1,200",37
GATEWAY HIGH (1220),2013,"1,177",35
GATEWAY HIGH (1220),2014,"1,158",22
GATEWAY HIGH (1220),2015,"1,121",26
COMMUNITY ACCESS JOB TRAINING (1222),2008,145,5
COMMUNITY ACCESS JOB TRAINING (1222),2009,131,2
COMMUNITY ACCESS JOB TRAINING (1222),2010,141,0
COMMUNITY ACCESS JOB TRAINING (1222),2011,131,0
COMMUNITY ACCESS JOB TRAINING (1222),2012,123,0
COMMUNITY ACCESS JOB TRAINING (1222),2013,132,0
COMMUNITY ACCESS JOB TRAINING (1222),2014,119,0
COMMUNITY ACCESS JOB TRAINING (1222),2015,136,0
BEAUMONT CTE HIGH SCHOOL (1250),2008,"1,062",211
BEAUMONT CTE HIGH SCHOOL (1250),2009,899,244
BEAUMONT CTE HIGH SCHOOL (1250),2010,782,109
BEAUMONT CTE HIGH SCHOOL (1250),2011,714,118
BEAUMONT CTE HIGH SCHOOL (1250),2012,335,26
BEAUMONT CTE HIGH SCHOOL (1250),2013,152,4
BEAUMONT CTE HIGH SCHOOL (1250),2014,63,2
BEAUMONT CTE HIGH SCHOOL (1250),2015,442,14
CLEVELAND NJROTC ACADEMY (1440),2008,347,27
CLEVELAND NJROTC ACADEMY (1440),2009,268,7
CLEVELAND NJROTC ACADEMY (1440),2010,238,14
CLEVELAND NJROTC ACADEMY (1440),2011,257,6
CLEVELAND NJROTC ACADEMY (1440),2012,260,12
CLEVELAND NJROTC ACADEMY (1440),2013,279,10
CLEVELAND NJROTC ACADEMY (1440),2014,299,10
CLEVELAND NJROTC ACADEMY (1440),2015,290,13
CARNAHAN SCH. OF THE FUTURE (1500),2008,198,2
CARNAHAN SCH. OF THE FUTURE (1500),2009,290,13
CARNAHAN SCH. OF THE FUTURE (1500),2010,393,18
CARNAHAN SCH. OF THE FUTURE (1500),2011,354,5
CARNAHAN SCH. OF THE FUTURE (1500),2012,376,13
CARNAHAN SCH. OF THE FUTURE (1500),2013,344,11
CARNAHAN SCH. OF THE FUTURE (1500),2014,374,7
CARNAHAN SCH. OF THE FUTURE (1500),2015,414,20
TRANSPORTATION AND LAW (1540),2008,220,14
TRANSPORTATION AND LAW (1540),2009,285,27
TRANSPORTATION AND LAW (1540),2010,344,31
TRANSPORTATION AND LAW (1540),2011,318,27
TRANSPORTATION AND LAW (1540),2012,298,30
TRANSPORTATION AND LAW (1540),2013,269,18
TRANSPORTATION AND LAW (1540),2014,357,42
TRANSPORTATION AND LAW (1540),2015,364,17
METRO HIGH (1560),2008,310,2
METRO HIGH (1560),2009,304,0
METRO HIGH (1560),2010,297,0
METRO HIGH (1560),2011,291,0
METRO HIGH (1560),2012,324,1
METRO HIGH (1560),2013,316,1
METRO HIGH (1560),2014,335,0
METRO HIGH (1560),2015,335,0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2008,16,0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2009,45,0
MCKINLEY CLASS. LEADERSHIP AC. (1570),2010,58,1
MCKINLEY CLASS. LEADERSHIP AC. (1570),2011,430,3
MCKINLEY CLASS. LEADERSHIP AC. (1570),2012,402,4
MCKINLEY CLASS. LEADERSHIP AC. (1570),2013,411,1
MCKINLEY CLASS. LEADERSHIP AC. (1570),2014,474,3
MCKINLEY CLASS. LEADERSHIP AC. (1570),2015,535,3
VASHON 9TH GRADE CTR. (1600),2008,212,99
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
VASHON 9TH GRADE CTR. (1600),,,
ROOSEVELT 9TH GRADE CTR. (1640),2008,417,209
ROOSEVELT 9TH GRADE CTR. (1640),2009,308,98
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT 9TH GRADE CTR. (1640),,,
ROOSEVELT HIGH (1680),2008,982,65
ROOSEVELT HIGH (1680),2009,"1,057",173
ROOSEVELT HIGH (1680),2010,"1,218",235
ROOSEVELT HIGH (1680),2011,"1,003",135
ROOSEVELT HIGH (1680),2012,879,139
ROOSEVELT HIGH (1680),2013,906,97
ROOSEVELT HIGH (1680),2014,776,97
ROOSEVELT HIGH (1680),2015,625,65
SOLDAN INTERNATIONAL STUDIES (1730),2008,677,32
SOLDAN INTERNATIONAL STUDIES (1730),2009,648,29
SOLDAN INTERNATIONAL STUDIES (1730),2010,749,23
SOLDAN INTERNATIONAL STUDIES (1730),2011,676,27
SOLDAN INTERNATIONAL STUDIES (1730),2012,624,12
SOLDAN INTERNATIONAL STUDIES (1730),2013,553,5
SOLDAN INTERNATIONAL STUDIES (1730),2014,559,13
SOLDAN INTERNATIONAL STUDIES (1730),2015,554,14
SUMNER HIGH (1800),2008,"1,016",178
SUMNER HIGH (1800),2009,948,118
SUMNER HIGH (1800),2010,878,121
SUMNER HIGH (1800),2011,586,73
SUMNER HIGH (1800),2012,521,67
SUMNER HIGH (1800),2013,576,52
SUMNER HIGH (1800),2014,579,59
SUMNER HIGH (1800),2015,440,121
VASHON HIGH (1830),2008,713,190
VASHON HIGH (1830),2009,818,244
VASHON HIGH (1830),2010,739,176
VASHON HIGH (1830),2011,658,150
VASHON HIGH (1830),2012,828,137
VASHON HIGH (1830),2013,900,89
VASHON HIGH (1830),2014,864,103
VASHON HIGH (1830),2015,645,173
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2008,688,38
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2009,781,71
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2010,694,16
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2011,522,17
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2012,423,16
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2013,388,14
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2014,402,7
CENTRAL VISUAL/PERF. ARTS HIGH (1860),2015,396,0
STOWE PREPARATORY JR. HIGH (2070),2008,273,18
STOWE PREPARATORY JR. HIGH (2070),2009,253,36
STOWE PREPARATORY JR. HIGH (2070),,,
STOWE PREPARATORY JR. HIGH (2070),,,
STOWE PREPARATORY JR. HIGH (2070),,,
STOWE PREPARATORY JR. HIGH (2070),,,
STOWE PREPARATORY JR. HIGH (2070),,,
STOWE PREPARATORY JR. HIGH (2070),,,
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2008,317,39
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2009,304,42
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2010,239,19
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2011,267,35
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2012,354,51
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2013,391,57
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2014,421,56
YEATMAN-LIDDELL MIDDLE SCHOOL (2080),2015,358,39
BLEWETT MIDDLE (3020),2008,236,17
BLEWETT MIDDLE (3020),2009,167,45
BLEWETT MIDDLE (3020),2010,0,0
BLEWETT MIDDLE (3020),2011,0,0
BLEWETT MIDDLE (3020),2012,0,0
BLEWETT MIDDLE (3020),,,
BLEWETT MIDDLE (3020),,,
BLEWETT MIDDLE (3020),,,
BLOW MIDDLE (3040),2008,202,20
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BLOW MIDDLE (3040),,,
BUSCH MS CHARACTER & ATHLETICS (3050),2008,238,3
BUSCH MS CHARACTER & ATHLETICS (3050),2009,277,12
BUSCH MS CHARACTER & ATHLETICS (3050),2010,266,8
BUSCH MS CHARACTER & ATHLETICS (3050),2011,307,4
BUSCH MS CHARACTER & ATHLETICS (3050),2012,346,6
BUSCH MS CHARACTER & ATHLETICS (3050),2013,353,10
BUSCH MS CHARACTER & ATHLETICS (3050),2014,330,8
BUSCH MS CHARACTER & ATHLETICS (3050),2015,349,7
CARR LANE VPA MIDDLE (3070),2008,480,11
CARR LANE VPA MIDDLE (3070),2009,428,18
CARR LANE VPA MIDDLE (3070),2010,503,8
CARR LANE VPA MIDDLE (3070),2011,551,23
CARR LANE VPA MIDDLE (3070),2012,516,22
CARR LANE VPA MIDDLE (3070),2013,559,18
CARR LANE VPA MIDDLE (3070),2014,610,12
CARR LANE VPA MIDDLE (3070),2015,557,10
BUNCHE INTERNATIONAL STUDIES (3110),2008,244,17
BUNCHE INTERNATIONAL STUDIES (3110),2009,259,9
BUNCHE INTERNATIONAL STUDIES (3110),2010,294,28
BUNCHE INTERNATIONAL STUDIES (3110),2011,178,19
BUNCHE INTERNATIONAL STUDIES (3110),,,
BUNCHE INTERNATIONAL STUDIES (3110),,,
BUNCHE INTERNATIONAL STUDIES (3110),,,
BUNCHE INTERNATIONAL STUDIES (3110),,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),2008,305,5
MCKINLEY/CLASSICAL JR. ACAD. (3130),2009,333,5
MCKINLEY/CLASSICAL JR. ACAD. (3130),2010,331,2
MCKINLEY/CLASSICAL JR. ACAD. (3130),,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),,,
MCKINLEY/CLASSICAL JR. ACAD. (3130),,,
FANNING MIDDLE COMMUNITY ED. (3140),2008,289,37
FANNING MIDDLE COMMUNITY ED. (3140),2009,333,52
FANNING MIDDLE COMMUNITY ED. (3140),2010,378,57
FANNING MIDDLE COMMUNITY ED. (3140),2011,353,21
FANNING MIDDLE COMMUNITY ED. (3140),2012,374,53
FANNING MIDDLE COMMUNITY ED. (3140),2013,340,43
FANNING MIDDLE COMMUNITY ED. (3140),2014,389,6
FANNING MIDDLE COMMUNITY ED. (3140),2015,375,18
GATEWAY MIDDLE (3230),2008,375,16
GATEWAY MIDDLE (3230),2009,426,15
GATEWAY MIDDLE (3230),2010,437,24
GATEWAY MIDDLE (3230),2011,464,20
GATEWAY MIDDLE (3230),2012,481,25
GATEWAY MIDDLE (3230),2013,569,20
GATEWAY MIDDLE (3230),2014,592,24
GATEWAY MIDDLE (3230),2015,559,21
LANGSTON MIDDLE (3240),2008,311,29
LANGSTON MIDDLE (3240),2009,310,16
LANGSTON MIDDLE (3240),2010,348,47
LANGSTON MIDDLE (3240),2011,299,46
LANGSTON MIDDLE (3240),2012,298,32
LANGSTON MIDDLE (3240),2013,304,23
LANGSTON MIDDLE (3240),2014,278,28
LANGSTON MIDDLE (3240),2015,282,21
LONG MIDDLE COMMUNITY ED. CTR. (3260),2008,294,34
LONG MIDDLE COMMUNITY ED. CTR. (3260),2009,315,28
LONG MIDDLE COMMUNITY ED. CTR. (3260),2010,336,18
LONG MIDDLE COMMUNITY ED. CTR. (3260),2011,318,41
LONG MIDDLE COMMUNITY ED. CTR. (3260),2012,275,20
LONG MIDDLE COMMUNITY ED. CTR. (3260),2013,258,24
LONG MIDDLE COMMUNITY ED. CTR. (3260),2014,245,14
LONG MIDDLE COMMUNITY ED. CTR. (3260),2015,239,19
L'OUVERTURE MIDDLE (3280),2008,207,22
L'OUVERTURE MIDDLE (3280),2009,232,42
L'OUVERTURE MIDDLE (3280),2010,300,50
L'OUVERTURE MIDDLE (3280),2011,258,42
L'OUVERTURE MIDDLE (3280),2012,238,29
L'OUVERTURE MIDDLE (3280),2013,204,30
L'OUVERTURE MIDDLE (3280),2014,0,0
L'OUVERTURE MIDDLE (3280),,,
NORTHWEST MIDDLE (3310),2008,153,11
NORTHWEST MIDDLE (3310),2009,65,2
NORTHWEST MIDDLE (3310),,,
NORTHWEST MIDDLE (3310),,,
NORTHWEST MIDDLE (3310),,,
NORTHWEST MIDDLE (3310),,,
NORTHWEST MIDDLE (3310),,,
NORTHWEST MIDDLE (3310),,,
COMPTON-DREW ILC MIDDLE (3390),2008,439,22
COMPTON-DREW ILC MIDDLE (3390),2009,415,11
COMPTON-DREW ILC MIDDLE (3390),2010,427,15
COMPTON-DREW ILC MIDDLE (3390),2011,470,17
COMPTON-DREW ILC MIDDLE (3390),2012,531,16
COMPTON-DREW ILC MIDDLE (3390),2013,535,12
COMPTON-DREW ILC MIDDLE (3390),2014,522,9
COMPTON-DREW ILC MIDDLE (3390),2015,496,27
STEVENS MIDDLE COMMUNITY ED. (3400),2008,257,35
STEVENS MIDDLE COMMUNITY ED. (3400),2009,273,66
STEVENS MIDDLE COMMUNITY ED. (3400),2010,248,29
STEVENS MIDDLE COMMUNITY ED. (3400),2011,174,24
STEVENS MIDDLE COMMUNITY ED. (3400),2012,0,0
STEVENS MIDDLE COMMUNITY ED. (3400),2013,0,0
STEVENS MIDDLE COMMUNITY ED. (3400),2014,0,0
STEVENS MIDDLE COMMUNITY ED. (3400),2015,0,0
ADAMS ELEM. (4000),2008,299,1
ADAMS ELEM. (4000),2009,303,0
ADAMS ELEM. (4000),2010,350,4
ADAMS ELEM. (4000),2011,291,3
ADAMS ELEM. (4000),2012,283,1
ADAMS ELEM. (4000),2013,279,0
ADAMS ELEM. (4000),2014,314,4
ADAMS ELEM. (4000),2015,278,6
ASHLAND ELEM. AND BR. (4060),2008,344,25
ASHLAND ELEM. AND BR. (4060),2009,329,0
ASHLAND ELEM. AND BR. (4060),2010,318,3
ASHLAND ELEM. AND BR. (4060),2011,291,5
ASHLAND ELEM. AND BR. (4060),2012,257,10
ASHLAND ELEM. AND BR. (4060),2013,336,13
ASHLAND ELEM. AND BR. (4060),2014,341,13
ASHLAND ELEM. AND BR. (4060),2015,329,0
BADEN ELEM. (4080),2008,287,1
BADEN ELEM. (4080),2009,263,0
BADEN ELEM. (4080),,,
BADEN ELEM. (4080),,,
BADEN ELEM. (4080),,,
BADEN ELEM. (4080),,,
BADEN ELEM. (4080),,,
BADEN ELEM. (4080),,,
BRYAN HILL ELEM. (4180),2008,180,3
BRYAN HILL ELEM. (4180),2009,167,1
BRYAN HILL ELEM. (4180),2010,176,6
BRYAN HILL ELEM. (4180),2011,165,1
BRYAN HILL ELEM. (4180),2012,168,0
BRYAN HILL ELEM. (4180),2013,187,0
BRYAN HILL ELEM. (4180),2014,170,2
BRYAN HILL ELEM. (4180),2015,184,0
BUDER ELEM. (4200),2008,362,0
BUDER ELEM. (4200),2009,324,0
BUDER ELEM. (4200),2010,339,1
BUDER ELEM. (4200),2011,327,2
BUDER ELEM. (4200),2012,345,0
BUDER ELEM. (4200),2013,349,0
BUDER ELEM. (4200),2014,315,0
