"","Name","Year","Weapon_Rate"
"1","ACAD OF ENVT SCI/MATH ELEM",2008,NA
"2","ACAD OF ENVT SCI/MATH ELEM",2009,NA
"3","ACAD OF ENVT SCI/MATH ELEM",2010,NA
"4","ACAD OF ENVT SCI/MATH ELEM",2011,NA
"5","ACAD OF ENVT SCI/MATH ELEM",2012,NA
"6","ACAD OF ENVT SCI/MATH ELEM",2013,0
"7","ACAD OF ENVT SCI/MATH ELEM",2014,0
"8","ACAD OF ENVT SCI/MATH ELEM",2015,0.3
"9","ACAD OF ENVT SCI/MATH MIDDLE",2008,NA
"10","ACAD OF ENVT SCI/MATH MIDDLE",2009,NA
"11","ACAD OF ENVT SCI/MATH MIDDLE",2010,NA
"12","ACAD OF ENVT SCI/MATH MIDDLE",2011,NA
"13","ACAD OF ENVT SCI/MATH MIDDLE",2012,NA
"14","ACAD OF ENVT SCI/MATH MIDDLE",2013,0.2
"15","ACAD OF ENVT SCI/MATH MIDDLE",2014,1.6
"16","ACAD OF ENVT SCI/MATH MIDDLE",2015,0
"17","ADAMS ELEM.",2008,0
"18","ADAMS ELEM.",2009,0
"19","ADAMS ELEM.",2010,0
"20","ADAMS ELEM.",2011,0
"21","ADAMS ELEM.",2012,0
"22","ADAMS ELEM.",2013,0
"23","ADAMS ELEM.",2014,0
"24","ADAMS ELEM.",2015,0.4
"25","AMES VISUAL/PERF. ARTS",2008,0
"26","AMES VISUAL/PERF. ARTS",2009,0.3
"27","AMES VISUAL/PERF. ARTS",2010,0.3
"28","AMES VISUAL/PERF. ARTS",2011,0.3
"29","AMES VISUAL/PERF. ARTS",2012,0
"30","AMES VISUAL/PERF. ARTS",2013,0
"31","AMES VISUAL/PERF. ARTS",2014,0.3
"32","AMES VISUAL/PERF. ARTS",2015,0
"33","ASHLAND ELEM. AND BR.",2008,0
"34","ASHLAND ELEM. AND BR.",2009,0
"35","ASHLAND ELEM. AND BR.",2010,0.3
"36","ASHLAND ELEM. AND BR.",2011,0
"37","ASHLAND ELEM. AND BR.",2012,1.2
"38","ASHLAND ELEM. AND BR.",2013,0.3
"39","ASHLAND ELEM. AND BR.",2014,0.3
"40","ASHLAND ELEM. AND BR.",2015,0
"41","BADEN ELEM.",2008,0
"42","BADEN ELEM.",2009,0
"43","BADEN ELEM.",2010,NA
"44","BADEN ELEM.",2011,NA
"45","BADEN ELEM.",2012,NA
"46","BADEN ELEM.",2013,NA
"47","BADEN ELEM.",2014,NA
"48","BADEN ELEM.",2015,NA
"49","BEAUMONT CTE HIGH SCHOOL",2008,0.7
"50","BEAUMONT CTE HIGH SCHOOL",2009,0.1
"51","BEAUMONT CTE HIGH SCHOOL",2010,0.5
"52","BEAUMONT CTE HIGH SCHOOL",2011,1.3
"53","BEAUMONT CTE HIGH SCHOOL",2012,0.3
"54","BEAUMONT CTE HIGH SCHOOL",2013,0
"55","BEAUMONT CTE HIGH SCHOOL",2014,0
"56","BEAUMONT CTE HIGH SCHOOL",2015,0
"57","BIG PICTURE ELEM. ALT.",2008,1.7
"58","BIG PICTURE ELEM. ALT.",2009,1.6
"59","BIG PICTURE ELEM. ALT.",2010,NA
"60","BIG PICTURE ELEM. ALT.",2011,NA
"61","BIG PICTURE ELEM. ALT.",2012,NA
"62","BIG PICTURE ELEM. ALT.",2013,NA
"63","BIG PICTURE ELEM. ALT.",2014,NA
"64","BIG PICTURE ELEM. ALT.",2015,NA
"65","BIG PICTURE MIDDLE & HIGH @ NW",2008,0
"66","BIG PICTURE MIDDLE & HIGH @ NW",2009,0
"67","BIG PICTURE MIDDLE & HIGH @ NW",2010,0
"68","BIG PICTURE MIDDLE & HIGH @ NW",2011,0
"69","BIG PICTURE MIDDLE & HIGH @ NW",2012,NA
"70","BIG PICTURE MIDDLE & HIGH @ NW",2013,NA
"71","BIG PICTURE MIDDLE & HIGH @ NW",2014,NA
"72","BIG PICTURE MIDDLE & HIGH @ NW",2015,NA
"73","BIG PICTURE MIDDLE ALT.",2008,3.3
"74","BIG PICTURE MIDDLE ALT.",2009,0
"75","BIG PICTURE MIDDLE ALT.",2010,NA
"76","BIG PICTURE MIDDLE ALT.",2011,NA
"77","BIG PICTURE MIDDLE ALT.",2012,NA
"78","BIG PICTURE MIDDLE ALT.",2013,NA
"79","BIG PICTURE MIDDLE ALT.",2014,NA
"80","BIG PICTURE MIDDLE ALT.",2015,NA
"81","BLEWETT MIDDLE",2008,0.4
"82","BLEWETT MIDDLE",2009,1.8
"83","BLEWETT MIDDLE",2010,0
"84","BLEWETT MIDDLE",2011,0
"85","BLEWETT MIDDLE",2012,0
"86","BLEWETT MIDDLE",2013,NA
"87","BLEWETT MIDDLE",2014,NA
"88","BLEWETT MIDDLE",2015,NA
"89","BLOW MIDDLE",2008,0
"90","BLOW MIDDLE",2009,NA
"91","BLOW MIDDLE",2010,NA
"92","BLOW MIDDLE",2011,NA
"93","BLOW MIDDLE",2012,NA
"94","BLOW MIDDLE",2013,NA
"95","BLOW MIDDLE",2014,NA
"96","BLOW MIDDLE",2015,NA
"97","BRYAN HILL ELEM.",2008,0
"98","BRYAN HILL ELEM.",2009,0
"99","BRYAN HILL ELEM.",2010,0
"100","BRYAN HILL ELEM.",2011,0
"101","BRYAN HILL ELEM.",2012,0
"102","BRYAN HILL ELEM.",2013,0
"103","BRYAN HILL ELEM.",2014,0
"104","BRYAN HILL ELEM.",2015,0
"105","BUDER ELEM.",2008,0
"106","BUDER ELEM.",2009,0
"107","BUDER ELEM.",2010,0
"108","BUDER ELEM.",2011,0.6
"109","BUDER ELEM.",2012,0
"110","BUDER ELEM.",2013,0
"111","BUDER ELEM.",2014,0
"112","BUDER ELEM.",2015,0
"113","BUNCHE INTERNATIONAL STUDIES",2008,0
"114","BUNCHE INTERNATIONAL STUDIES",2009,0
"115","BUNCHE INTERNATIONAL STUDIES",2010,0.7
"116","BUNCHE INTERNATIONAL STUDIES",2011,1.1
"117","BUNCHE INTERNATIONAL STUDIES",2012,NA
"118","BUNCHE INTERNATIONAL STUDIES",2013,NA
"119","BUNCHE INTERNATIONAL STUDIES",2014,NA
"120","BUNCHE INTERNATIONAL STUDIES",2015,NA
"121","BUSCH MS CHARACTER & ATHLETICS",2008,0.4
"122","BUSCH MS CHARACTER & ATHLETICS",2009,0
"123","BUSCH MS CHARACTER & ATHLETICS",2010,0
"124","BUSCH MS CHARACTER & ATHLETICS",2011,0
"125","BUSCH MS CHARACTER & ATHLETICS",2012,0
"126","BUSCH MS CHARACTER & ATHLETICS",2013,0.3
"127","BUSCH MS CHARACTER & ATHLETICS",2014,0
"128","BUSCH MS CHARACTER & ATHLETICS",2015,0
"129","CARDINAL GLENNON HOSPITAL",2008,0
"130","CARDINAL GLENNON HOSPITAL",2009,0
"131","CARDINAL GLENNON HOSPITAL",2010,0
"132","CARDINAL GLENNON HOSPITAL",2011,0
"133","CARDINAL GLENNON HOSPITAL",2012,0
"134","CARDINAL GLENNON HOSPITAL",2013,0
"135","CARDINAL GLENNON HOSPITAL",2014,0
"136","CARDINAL GLENNON HOSPITAL",2015,0
"137","CARNAHAN SCH. OF THE FUTURE",2008,0
"138","CARNAHAN SCH. OF THE FUTURE",2009,0
"139","CARNAHAN SCH. OF THE FUTURE",2010,0.5
"140","CARNAHAN SCH. OF THE FUTURE",2011,0
"141","CARNAHAN SCH. OF THE FUTURE",2012,0
"142","CARNAHAN SCH. OF THE FUTURE",2013,0
"143","CARNAHAN SCH. OF THE FUTURE",2014,0
"144","CARNAHAN SCH. OF THE FUTURE",2015,0
"145","CARR LANE VPA MIDDLE",2008,0
"146","CARR LANE VPA MIDDLE",2009,0.2
"147","CARR LANE VPA MIDDLE",2010,0
"148","CARR LANE VPA MIDDLE",2011,0.4
"149","CARR LANE VPA MIDDLE",2012,0
"150","CARR LANE VPA MIDDLE",2013,0.4
