,DateOccur,Count,Crime,District,Neighborhood,XCoord,YCoord
1,1/1/08 8:00,1,179210,1,5,885368.7,1001191
2,1/1/12 0:01,1,21000,1,17,894746.1,999716.7
3,1/1/12 16:33,1,21000,1,1,892616.1,995398.3
4,1/1/13 10:00,1,51312,3,16,894258.6,1000917
5,1/1/14 0:01,1,41011,5,56,890767.4,1029512
6,1/1/14 0:01,1,41011,3,24,897941,1009342
7,1/1/14 0:01,1,41011,3,24,897941,1009342
8,1/1/14 0:01,1,142320,6,66,903042.8,1033644
9,1/1/14 0:01,1,41021,2,29,893591,1014227
10,1/1/14 0:01,1,265321,2,14,884391.1,1007055
11,1/1/14 0:10,1,41011,3,34,904041,1011813
12,1/1/14 0:15,1,142310,3,30,896017.7,1006822
13,1/1/14 0:17,1,71030,4,35,910439.8,1019433
14,1/1/14 0:30,1,265321,2,11,878622.1,1010256
15,1/1/14 0:40,1,266510,4,37,894906.8,1020188
16,1/1/14 0:47,1,211000,4,35,907710.4,1020229
17,1/1/14 1:00,1,64701,2,15,888265.9,1005242
18,1/1/14 1:00,1,142320,3,30,896726.6,1006815
19,1/1/14 1:09,1,265321,4,35,910391.4,1018273
20,1/1/14 1:15,1,211000,2,9,878247,1008995
21,1/1/14 1:15,1,41016,3,34,904771.8,1011975
22,1/1/14 1:34,1,151110,4,60,904381.8,1023654
23,1/1/14 1:39,1,43012,4,35,908726.1,1016735
24,1/1/14 2:00,1,211000,2,39,891534.1,1017455
25,1/1/14 2:10,1,241100,4,37,899009.4,1020191
26,1/1/14 2:20,1,41011,4,61,906689.7,1022067
27,1/1/14 2:20,1,41011,4,61,906689.7,1022067
28,1/1/14 2:30,1,142320,2,14,885597.1,1006290
29,1/1/14 2:30,1,67601,3,16,890165.4,1003642
30,1/1/14 2:30,1,42016,6,66,903209.7,1033402
31,1/1/14 2:35,1,41011,2,28,889451.3,1014521
32,1/1/14 2:35,1,41011,2,28,889451.3,1014521
33,1/1/14 2:40,1,44012,5,48,882262.8,1027291
34,1/1/14 3:00,1,67601,1,5,885498.1,999633.6
35,1/1/14 3:15,1,115100,4,36,905919.7,1019148
36,1/1/14 3:20,1,250000,4,36,906158.1,1019310
37,1/1/14 3:44,1,266999,6,74,896972.6,1046453
38,1/1/14 3:45,1,65701,2,39,890350.1,1016786
